title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"My Sisters And Me : THE Hilarious, Feel-Good Book To Curl Up With",Lisa Dickenson,400,"Little, Brown Book Group",2019-03-05,7.95,2.05,3.84,176,2,15,40,71,48,561427,9780751563115,English,"Home, Garden"
Costume Party Book,Peg Couch,32,Design Originals,2012-05-01,10.13,0.87,3.8,5,0,1,0,3,1,1468478,9781574213447,English,"Home, Garden"
Perspectives on American Book History : Artifacts and Commentary,"Scott E. Casper, Joanne D. Chaison, Jeffrey D. Groves",480,UNIVERSITY OF MASSACHUSETTS PRESS,2002-05-15,33.26,3.74,3.81,21,0,2,5,9,5,1352036,9781558493179,English,"Home, Garden"
Anxious Gardener's Book of Answers,Teri Dunn Chace,220,Timber Press,2012-04-03,9.35,2.60,3.46,57,1,10,16,22,8,1369200,9781604692358,English,"Home, Garden"
Fashionable Clothing from the Sears Catalogs: Early 1930s,Tammy Ward,160,Schiffer Publishing Ltd,2007-07-01,34.16,1.34,3.5,2,0,1,0,0,1,838977,9780764326158,English,"Home, Garden"
Patrick Cameron: Dressing Long Hair Book 2,Patrick Cameron,80,Cengage Learning EMEA,2001-03-01,39.38,42.12,3,2,1,0,0,0,1,1278980,9781861526847,English,"Home, Garden"
"Books in Chains, and Other Bibliographical Papers",William Blades,278,Nabu Press,2010-08-20,26.67,0.32,3.5,2,0,1,0,0,1,9781177525961,9781177525961,English,"Home, Garden"
Dungeons & Dragons Forgotten Realms Poster Book,Dungeons & Dragons,24,"Running Press,U.S.",2022-03-31,13.26,1.74,4.5,2,0,0,0,1,1,1254868,9780762479016,English,"Home, Garden"
Treepedia : A Brief Compendium of Arboreal Lore,"Joan Maloof, Maren Westfall",152,Princeton University Press,2021-09-14,13.86,3.13,4.21,39,0,1,7,14,17,1105094,9780691208756,English,"Home, Garden"
The Overstreet Comic Book Price Guide #1 : 1971 Facsimile Edition,Robert M. Overstreet,238,Gemstone Publishing,2021-03-09,15.79,2.21,5,1,0,0,0,0,1,1364759,9781603602662,English,"Home, Garden"
Tools and Their Uses,United States Bureau of Naval Personnel,192,Dover Publications Inc.,1973-09-01,12.87,1.13,4.33,9,0,1,1,1,6,1051471,9780486220222,English,"Home, Garden"
The Dedication of Books to Patron and Friend : A Chapter in Literary History,Henry Benjamin Wheatley,268,Nabu Press,2012-05-14,26.49,0.50,5,1,0,0,0,0,1,9781286730096,9781286730096,English,"Home, Garden"
"Bookbinding, and the Care of Books : A Handbook for Amateur Bookbinders & Librarians",Douglas Cockerell,348,Franklin Classics Trade Press,2018-10-25,26.51,0.44,3.88,8,0,1,2,2,3,9780344195815,9780344195815,English,"Home, Garden"
The Rare Books of Freemasonry,Lionel Vibert,52,Legare Street Press,2021-09-09,13.86,0.14,3,1,0,0,1,0,0,9781013301056,9781013301056,English,"Home, Garden"
Exploring Japanese Books and Scrolls,Colin Franklin,156,Oak Knoll Press,2005-09-30,49.83,28.91,3,1,0,0,1,0,0,3557685,9781584561644,English,"Home, Garden"
Mending and Repair of Books,"Margaret Wright Brown, Gertrude Stiles",30,Nabu Press,2010-05-25,15.33,3.66,3.44,9,1,0,4,2,2,9781149695487,9781149695487,English,"Home, Garden"
How to Collect Books,John Herbert Slater,284,Nabu Press,2010-01-01,26.87,0.12,2,1,0,1,0,0,0,9781141681761,9781141681761,English,"Home, Garden"
Taiwan in 100 Books,John Grant Ross,332,Camphor Press Ltd,2020-06-11,33.10,1.20,4.05,19,1,1,3,5,9,3706495,9781788692007,English,"Home, Garden"
How to Collect Books,John Herbert Slater,282,Nabu Press,2010-02-22,26.80,0.19,2,1,0,1,0,0,0,9781144947475,9781144947475,English,"Home, Garden"
Mending and Repair of Books,Margaret Wright Brown,32,Palala Press,2018-02-18,12.29,0.71,3.44,9,1,0,4,2,2,9781377957869,9781377957869,English,"Home, Garden"
Mending and Repair of Books,"Margaret Wright Brown, Gertrude Stiles",30,Nabu Press,2010-05-25,15.33,3.66,3.44,9,1,0,4,2,2,9781149695487,9781149695487,English,"Home, Garden"
The Rare Books of Freemasonry,Lionel Vibert,54,Read Books,2019-05-02,11.19,2.31,3,1,0,0,1,0,0,9781528712835,9781528712835,English,"Home, Garden"
How to Collect Books,John Herbert Slater,282,Nabu Press,2010-02-22,26.80,0.19,2,1,0,1,0,0,0,9781144947475,9781144947475,English,"Home, Garden"
Books and Libraries in Early England,Helmut Gneuss,328,Taylor & Francis Ltd,1996-12-31,124.47,5.23,4.5,2,0,0,0,1,1,9780860786023,9780860786023,English,"Home, Garden"
"Bookbinding, and the Care of Books : A Handbook for Amateur Bookbinders & Librarians",Douglas Cockerell,348,Franklin Classics Trade Press,2018-10-25,26.51,0.44,3.88,8,0,1,2,2,3,9780344195815,9780344195815,English,"Home, Garden"
The Rare Books of Freemasonry,Lionel Vibert,54,Read Books,2019-05-02,11.19,2.31,3,1,0,0,1,0,0,9781528712835,9781528712835,English,"Home, Garden"
Scandinavian Art Pottery: Denmark and Sweden,Robin Hecht Minardi,192,Schiffer Publishing Ltd,2005-07-01,53.52,2.48,5,1,0,0,0,0,1,865704,9780764322396,English,"Home, Garden"
How to Collect Books,John Herbert Slater,282,Nabu Press,2010-02-22,26.80,0.19,2,1,0,1,0,0,0,9781144947475,9781144947475,English,"Home, Garden"
The Little Book of Planting Trees,Max Adams,176,Head of Zeus,2020-09-01,9.92,1.08,4.05,20,0,1,4,8,7,1598853,9781789545883,English,"Home, Garden"
Every Nursery Needs a Garden : A Step-by-step Guide to Creating and Using a Garden with Young Children,Ann Watts,132,Taylor & Francis Ltd,2011-05-03,30.59,0.31,4,1,0,0,0,1,0,1055038,9780415591317,English,"Home, Garden"
Upcycling Books: Decorative Objects,Julia Rubio,144,Schiffer Publishing Ltd,2020-01-28,28.40,0.10,3.92,13,0,0,3,8,2,9780764358753,9780764358753,English,"Home, Garden"
The Love of Books : The Philobiblon of Richard de Bury,"Richard De Bury, Ernest Chester Thomas",174,Nabu Press,2010-02-24,22.03,1.96,3.72,110,3,11,30,36,30,9781145555273,9781145555273,English,"Home, Garden"
Books and Bookmen,Anonymous,200,Nabu Press,2010-01-11,22.69,1.30,3.2,10,0,1,6,3,0,9781143071355,9781143071355,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers,William Blades,276,Nabu Press,2010-01-11,26.67,0.32,3.5,2,0,1,0,0,1,9781143062322,9781143062322,English,"Home, Garden"
Books And Bookmen,Andrew Lang,88,Lector House,2020-09-04,10.08,1.52,3.2,10,0,1,6,3,0,9789390314515,9789390314515,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers,William Blades,276,Nabu Press,2010-01-09,26.67,0.32,3.5,2,0,1,0,0,1,9781141322077,9781141322077,English,"Home, Garden"
Books and Printing : A Treasury for Typophiles,Paul A. Bennett,385,Nova Science Publishers Inc,2021-03-25,208.64,4.43,4.25,4,0,0,0,3,1,9781536191103,9781536191103,English,"Home, Garden"
The Love of Books : The Philobiblon of Richard de Bury,Richard de Bury,180,Nabu Press,2010-02-28,22.17,1.82,3.72,110,3,11,30,36,30,9781146040822,9781146040822,English,"Home, Garden"
The Enemies of Books,William Blades,152,Franklin Classics Trade Press,2018-10-27,18.64,3.31,3.53,49,0,3,21,21,4,9780344343803,9780344343803,English,"Home, Garden"
The Story of Books...,Gertrude Burford Rawlings,168,Nabu Press,2012-03-02,21.90,2.09,3,6,0,2,2,2,0,9781276719155,9781276719155,English,"Home, Garden"
Books and Bookmen,Andrew Lang,198,Nabu Press,2010-06-13,22.63,1.36,3.2,10,0,1,6,3,0,9781174212239,9781174212239,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers,William Blades,284,Nabu Press,2010-01-10,26.87,0.12,3.5,2,0,1,0,0,1,9781141743063,9781141743063,English,"Home, Garden"
Upcycling Books: Decorative Objects,Julia Rubio,144,Schiffer Publishing Ltd,2020-01-28,28.40,0.10,3.92,13,0,0,3,8,2,9780764358753,9780764358753,English,"Home, Garden"
Pocket Diana Wisdom : Wise and Inspirational Words from the People's Princess,Hardie Grant Books,96,Hardie Grant Books (UK),2022-05-12,10.09,0.41,5,1,0,0,0,0,1,1348527,9781784884956,English,"Home, Garden"
"Marigolds, Myrtle and Moles : A Gardener's Bedside Book - the perfect book for gardening self-isolators",Alan Titchmarsh,176,Hodder & Stoughton,2020-12-29,12.78,7.72,3.88,33,0,2,9,13,9,682153,9781529311150,English,"Home, Garden"
"More Is More Decor - A Handbook For Maximalists : Banish the beige, ditch the drab and throw the interiors rule book out of the window","Interiorcurve Limited, Siobhan Murphy",208,Bonnier Books Ltd,2022-08-18,28.47,2.03,4,3,0,0,1,1,1,448603,9781800782822,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers,William Blades,284,"BiblioLife, LLC",2010-03-09,26.87,0.12,3.5,2,0,1,0,0,1,9781147011708,9781147011708,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers...,William Blades,278,Nabu Press,2011-09-23,26.70,0.29,3.5,2,0,1,0,0,1,9781246533248,9781246533248,English,"Home, Garden"
The Enemies of Books,William Blades,152,Franklin Classics Trade Press,2018-10-27,18.64,3.31,3.53,49,0,3,21,21,4,9780344343803,9780344343803,English,"Home, Garden"
The Story of Books...,Gertrude Burford Rawlings,168,Nabu Press,2012-03-02,21.90,2.09,3,6,0,2,2,2,0,9781276719155,9781276719155,English,"Home, Garden"
Marvels Postcard Book,Alex Ross,84,Marvel Comics,2019-09-10,18.42,6.08,4.5,2,0,0,0,1,1,1116327,9781302918897,English,"Home, Garden"
Little Book of Jewish Feasts,"Leah Koenig, Linda Pugliese",136,CHRONICLE BOOKS,2018-07-24,18.12,1.38,3.67,21,0,3,7,5,6,1270738,9781452160627,English,"Home, Garden"
The Little Book of Humanist Weddings : Enduring inspiration for celebrating love and commitment,"Andrew Copson, Alice Roberts",272,"Little, Brown Book Group",2022-03-29,9.84,0.66,4.09,11,1,0,1,4,5,797502,9780349429731,English,"Home, Garden"
The Houseplants Book for Beginners : The Best Plants to Grow Indoors for Plant Lovers and Aspiring Green Thumbers,Christo Sullivan,150,Independently Published,2021-05-01,12.51,0.41,4.25,12,0,0,3,3,6,2342356,9798747314597,English,"Home, Garden"
Whatever is Lovely Postcard Book,Ink & Willow,24,Random House USA Inc,2020-10-20,12.13,2.37,4.86,14,0,0,0,2,12,1853305,9780593192917,English,"Home, Garden"
Swear Word Coloring Book : Fuck-Bombs For Fuckers,"Kate Blume, Blumesberry Art",52,Page Addie,2017-04-20,11.43,0.77,5,1,0,0,0,0,1,1104540,9780648076841,English,"Home, Garden"
"M'Lady's Book of Household Secrets : Recipes, Remedies and Essential Etiquette",The Hon. Sarah Connolly Carew Macpherson,144,The History Press Ltd,2014-04-01,12.72,13.28,5,1,0,0,0,0,1,1139046,9781845887810,English,"Home, Garden"
Books in Chains : And Other Bibliographical Papers,William Blades,276,Nabu Press,2010-01-11,26.67,0.32,3.5,2,0,1,0,0,1,9781143062322,9781143062322,English,"Home, Garden"
The Enemies of Books,William Blades,158,Nabu Press,2010-05-13,21.64,2.35,3.53,49,0,3,21,21,4,9781149358191,9781149358191,English,"Home, Garden"
"The Korean Lifestyle Book : How to Bring K-Culture into your Everyday Life, Home and Style","Michael O'Mara Books, Jeong Hwa Hwa",128,Michael O'Mara Books Ltd,2021-03-01,13.03,2.97,2.98,61,5,12,29,9,6,1210889,9781789292466,English,"Home, Garden"
The Love of Books : The Philobiblon of Richard de Bury,Richard de Bury,180,Nabu Press,2010-02-28,22.17,1.82,3.72,110,3,11,30,36,30,9781146040822,9781146040822,English,"Home, Garden"
Fashionable Clothing from the Sears Catalogs: Early 1940s,Tina Skinner,160,Schiffer Publishing Ltd,2007-07-01,34.36,1.14,4.33,9,0,0,2,2,5,765426,9780764317552,English,"Home, Garden"
Books And Bookmen,Andrew Lang,88,Lector House,2020-09-04,10.08,1.52,3.2,10,0,1,6,3,0,9789390314515,9789390314515,English,"Home, Garden"
"Books Do Furnish a Room: Organize, Display, Store",Leslie Geddes Brown,160,Merrell Publishers Ltd,2021-09-09,27.39,3.11,3.99,194,1,12,38,79,64,1768246,9781858946986,English,"Home, Garden"
Printed Commonplace-Books and the Structuring of Renaissance Thought,Ann Moss,358,Oxford University Press,1996-05-23,186.22,61.28,4,5,0,0,1,3,1,2027219,9780198159087,English,"Home, Garden"
The Boob Book,Kristina Micotti,112,Chronicle Books,2020-02-07,12.73,0.77,3.51,100,6,8,38,25,23,1194669,9781452177595,English,"Home, Garden"
KNIVES 2020,Joe Kertzman,312,Krause Publications,2019-10-17,32.56,4.43,4.5,2,0,0,0,1,1,749552,9781946267887,English,"Home, Garden"
"You Are More Than Just Your Bits! A book on style, lifestyle, and inner styling","Cindy Newstead, Tippi Hedren",156,Strategic Book Publishing,2013-09-11,20.39,3.71,3.5,2,0,0,1,1,0,674940,9781622129744,English,"Home, Garden"
Historic Costume - CD-Rom and Book : From Ancient Times to the Renaissance,Tom Tierney,64,Dover Publications Inc.,2003-04-25,15.49,2.51,4,6,0,0,2,2,2,1101531,9780486995205,English,"Home, Garden"
"The Landscape Lighting Book, Third Edition",JL Moyer,384,John Wiley & Sons Inc,2013-09-27,127.06,21.44,4,12,0,0,4,4,4,1186920,9781118073827,English,"Home, Garden"
101 Plus Size Women's Clothing Tips,Lynda Moultry,104,LIFETIPS.COM,2006-12-30,9.78,1.22,3,6,2,1,0,1,2,1030122,9781602750012,English,"Home, Garden"
"Hatcher's Notebook : A Standard Reference Book for Shooters, Gunsmiths, Ballisticians, Historians, Hunters, and Collectors",Julian S Hatcher,500,Martino Fine Books,2012-04-11,28.37,1.13,4.42,48,0,1,3,19,25,409428,9781614272830,English,"Home, Garden"
Jorid Linvik's Big Book of Christmas Knits : Over 70 Scandinavian Holiday Patterns,Jorid Linvik,208,Trafalgar Square,2021-09-23,22.27,3.73,3.53,17,0,3,4,8,2,1201782,9781570769528,English,"Home, Garden"
The Book of the Garand,Julian S Hatcher,304,Martino Fine Books,2012-08-22,20.81,2.99,4.6,30,0,0,2,8,20,1368490,9781614273356,English,"Home, Garden"
The Book of the Earthworm,"Deirdra Whelan, Sally Coulthard",208,Head of Zeus,2021-04-01,17.21,8.79,4.03,123,3,0,24,59,37,1374133,9781789544756,English,"Home, Garden"
"A Little Book of Woodworking Joints - Including Dovetailing, Mortise-and-Tenon and Mitred Joints",Anon.,52,READ BOOKS,2012-10-03,11.81,6.29,4,1,0,0,0,1,0,903818,9781447460725,English,"Home, Garden"
"Lathe Book, The (3rd Edition)",E Conover,224,Taunton Press Inc,2020-02-04,32.53,0.97,5,2,0,0,0,0,2,842339,9781641550116,English,"Home, Garden"
Muzzle-Loading Cap Lock Rifle,Ned H. Roberts,308,Stackpole Books,2009-07-01,44.73,1.97,4.33,3,0,0,1,0,2,1331271,9780811705172,English,"Home, Garden"
"Pop-up Paper Structures : Beginner's Guide to Creating 3-D Elements for Books, Cards and More",Heidi Pridemore,64,C & T Publishing,2007-09-04,20.25,0.75,4.3,10,0,0,2,3,5,1201923,9781571204202,English,"Home, Garden"
Pocket Diana Wisdom : Wise and Inspirational Words from the People's Princess,Hardie Grant Books,96,Hardie Grant Books (UK),2022-05-12,10.09,0.41,5,1,0,0,0,0,1,1348527,9781784884956,English,"Home, Garden"
RHS The Little Book of Wild Gardening : How to work with nature to create a beautiful wildlife haven,Holly Farrell,144,Octopus Publishing Group,2022-08-02,17.25,2.25,3.5,2,0,0,1,1,0,1210453,9781784728335,English,"Home, Garden"
"Carpentry for Boys - In Simple Language, Including Chapters on Drawing, Laying Out Work, Designing and Architecture - The 'How-To-Do-It' Books",J. S. Zerbe,242,Read Books,2012-04-09,24.01,7.69,3.86,7,0,0,3,2,2,1917294,9781447450160,English,"Home, Garden"
Mastering Woodworking Machines,Mark Duginske,248,Taunton Press Inc,1992-05-01,31.49,0.51,4,19,0,1,5,6,7,742695,9780942391985,English,"Home, Garden"
Little Guide Book: Asian Leaves & Roots,"Devagi Sanmugam, Christopher Tan",80,Marshall Cavendish International (Asia) Pte Ltd,2014-11-07,7.50,1.50,3,2,0,0,2,0,0,956620,9789814561303,English,"Home, Garden"
"Gun Digest 2020, 74th Edition : The World's Greatest Gun Book!",Jerry Lee,560,Krause Publications,2019-10-03,30.60,6.39,4.5,8,0,0,1,2,5,452757,9781946267825,English,"Home, Garden"
The Book of Skulls,Faye Dowling,160,Orion Publishing Co,2018-07-02,10.54,1.96,3.98,150,1,8,37,51,53,21754,9781856697002,English,"Home, Garden"
Harry Potter Talking Dobby and Collectible Book,Running Press,48,"Running Press,U.S.",2018-04-26,8.91,6.09,4.58,12,0,1,0,2,9,52440,9780762463107,English,"Home, Garden"
The Bibliomania or Book-madness,"Thomas Frognall Dibdin, Peter Danckwerts",264,Tiger of the Stripe,2006-12-31,16.20,0.90,3.5,10,0,3,2,2,3,1033779,9781904799177,English,"Home, Garden"
"The Little Book of Whittling : Passing Time on the Trail, on the Porch, and Under the Stars",Chris Lubkemann,104,Fox Chapel Publishing,2013-01-01,12.88,0.62,4.05,83,0,2,24,25,32,16271,9781565237728,English,"Home, Garden"
"How to Re-build GM LS-Series Engines : This Workbench Series Book is a Complete Reference with Hundreds of Photos to Show You How to Rebuild an LS-series Engine, Step-by-step",Chris Werner,152,CARTECH INC,2008-06-15,33.42,4.08,4,14,0,1,2,7,4,260382,9781932494600,English,"Home, Garden"
Harry Potter Talking Sorting Hat and Sticker Book : Which House Are You?,Running Press,16,Running Press,2017-05-25,7.48,6.02,4.3,10,0,0,2,3,5,14343,9780762461769,English,"Home, Garden"
"The Little Book of Skin Care : Korean Beauty Secrets for Healthy, Glowing Skin",Charlotte Cho,224,HarperCollins Publishers Inc,2015-12-17,23.55,2.45,3.96,4764,59,239,1061,1889,1516,11287,9780062416384,English,"Home, Garden"
Books : A Memoir,Larry Mcmurtry,272,SIMON & SCHUSTER,2009-07-14,17.55,0.45,3.2,2047,91,401,799,529,227,318834,9781416583356,English,"Home, Garden"
LEGO (R) Note Brick (Blue-Green),LEGO (R),224,CHRONICLE BOOKS,2020-05-05,13.59,1.41,3.5,2,0,1,0,0,1,45420,9781452179698,English,"Home, Garden"
The Ladybird Book of the Shed,"Jason Hazeley, Joel Morris",56,Penguin Books Ltd,2015-11-02,10.09,1.41,3.83,313,10,25,77,96,105,80185,9780718183585,English,"Home, Garden"
