title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Bonnie's Household Budget Book : The Essential Guide for Getting Control of Your Money,Bonnie Runyan McCullough,80,St. Martin's Griffin,2001-08-18,17.33,0.67,3.72,18,1,1,6,4,6,891446,9780312280314,English,"Personal, Development"
The 12 Powers of a Marketing Leader: How to Succeed by Building Customer and Company Value,"Thomas Barta, Patrick Barwise",240,McGraw-Hill Education,2016-10-16,24.12,5.38,4.03,68,2,1,13,29,23,425437,9781259834714,English,"Personal, Development"
"HBR's 10 Must Reads on Managing People, Vol. 2 (with bonus article ""The Feedback Fallacy"" by Marcus Buckingham and Ashley Goodall)","Harvard Business Review, Marcus Buckingham, Michael D. Watkins, Linda A. Hill, Patty McCord",208,Harvard Business Review Press,2020-03-24,16.53,9.46,3.62,48,0,2,21,18,7,573441,9781633699137,English,"Personal, Development"
Little Pocket Book of Wisdom 2019 : Your Daily Dose of Quotes to Inspire Wisdom,Trigger Publishing,160,Welbeck Publishing Group,2020-03-05,10.34,0.66,5,1,0,0,0,0,1,979143,9781789561395,English,"Personal, Development"
Zen Life : An Open-At-Random Book of Guidance,Daniel Levin,240,St. Lynn's Press,2009-11-12,14.21,3.79,4.21,33,2,0,2,14,15,562676,9780980028874,English,"Personal, Development"
Book Collecting Now : The Value of Print in a Digital Age,Matthew Budman,168,Chatwin Books,2019-05-01,17.13,0.87,4.07,15,0,1,4,3,7,1369112,9781633980648,English,"Personal, Development"
Fruits of Sorrow,Elizabeth V. Spelman,224,Beacon Press,1998-08-01,22.71,3.09,4.16,19,0,1,3,7,8,1257095,9780807014219,English,"Personal, Development"
The Little Winter Book of Gnomes,Kirsten Sevig,128,WW Norton & Co,2019-10-29,13.86,0.64,4.28,57,0,2,8,19,28,1207681,9781682684788,English,"Personal, Development"
"The Little Book of CBD : A simple, trustworthy guide to a powerful essential oil",Idan Naor,128,Ebury Publishing,2020-10-27,9.62,6.88,2.5,2,0,1,1,0,0,1351068,9781529107203,English,"Personal, Development"
"The Little Book of Health : Simple Steps to a Longer, Healthier, Happier Life",Michael Spira,192,Octopus Publishing Group,2018-01-11,11.21,3.79,3.43,23,2,2,5,12,2,1373742,9781786852342,English,"Personal, Development"
The Self Help Book : 6 Practical Ways to Never Stop Growing,Jared Graybeal,154,E3 Publishing,2021-01-19,13.75,3.25,4.33,21,0,0,4,6,11,1362347,9781544517704,English,"Personal, Development"
