title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
This Is a Book About Noodles,Brendan Pang,168,Page Street Publishing Co.,2023-01-20,20.98,4.52,5,2,0,0,0,0,2,5770,9781645675785,English,"Food, Drink"
"Book of Coffee and Tea : A Guide to the Appreciation of Fine Coffees, Teas and Herbal Beverages",Joel Schapira,313,St Martin's Press,1996-03-15,22.49,2.51,4.06,33,0,1,7,14,11,890241,9780312140991,English,"Food, Drink"
The Little Book of Whisky Tips,Andrew Langley,112,Absolute Press,2017-11-28,8.27,0.73,3.47,34,3,4,8,12,7,861588,9781472954534,English,"Food, Drink"
Cook without a Book: Meatless Meals : Recipes and Techniques for Part-Time and Full-Time Vegetarians: A Cookbook,Pam Anderson,288,Rodale Press,2011-10-25,32.90,1.60,4.12,204,1,12,31,77,83,821135,9781605291765,English,"Food, Drink"
The Southerner's Handbook : A Guide to Living the Good Life,Editors of Garden and Gun,304,HARPER WAVE,2013-10-29,29.37,3.13,3.97,904,10,44,225,310,315,580034,9780062242389,English,"Food, Drink"
The Stick Man Family Tree Recipe Book (HB),"Julia Donaldson, Axel Scheffler",64,Scholastic,2020-07-23,14.97,1.03,5,1,0,0,0,0,1,364576,9781407196824,English,"Food, Drink"
"Spirituous Journey: Book 2 : A History of Drink, Book Two","Jared McDaniel Brown, Anistatia Renard Miller, Gary Regan",272,Mixellany Limited,2010-03-10,20.11,4.49,4.5,6,0,0,1,1,4,825045,9781907434068,English,"Food, Drink"
"The Ultimate Peanut Butter Book : Savory and Sweet, Breakfast to Dessert, Hundereds of Ways to Use America's Favorite Spread","Bruce Weinstein, Mark Scarbrough",264,HarperCollins Publishers Inc,2012-06-05,19.07,2.93,3.75,28,0,3,8,10,7,444650,9780060562762,English,"Food, Drink"
A Book of Feasts and Seasons,Joanna Bogle,212,Gracewing,1993-01-01,16.36,2.04,4.09,22,0,1,5,7,9,492562,9780852442173,English,"Food, Drink"
Braai : The South African Barbecue Book,Jan Braai,200,"Little, Brown Book Group",2017-04-25,22.82,0.68,3.33,9,1,2,1,3,2,326841,9781472137616,English,"Food, Drink"
Martha Lloyd's Household Book : The Original Manuscript from Jane Austen's Kitchen,"Deirdre Le Faye, Julienne Gehrer",312,Bodleian Library,2021-07-22,43.18,6.82,4.25,12,0,0,2,5,5,428031,9781851245604,English,"Food, Drink"
"Do Wild Baking : Food, Fire and Good Times",Tom Herbert,160,The Do Book Co,2017-11-02,10.68,2.32,4.1,20,0,1,4,7,8,310165,9781907974359,English,"Food, Drink"
Cooking Books : Cooking with Quinoa and Gluten Free,Debra Laguire,124,Healthy Lifestyles,2013-03-12,9.26,2.24,3.3,10,2,1,3,0,4,1285619,9781631878091,English,"Food, Drink"
Corkscrewed : Adventures in the New French Wine Country,Robert V. Camuto,216,University of Nebraska Press,2010-06-01,15.99,1.01,3.81,63,0,5,16,28,14,969407,9780803229785,English,"Food, Drink"
Hot Fat,"Russell Alford, Patrick Hanlon",72,Nine Bean Rows Books,2022-05-05,14.43,1.57,4.88,16,0,0,0,2,14,335852,9781999379919,English,"Food, Drink"
"Real Ale Record Book : 40 Pubs, 170 Beers",Adrian Tierney-Jones,124,The History Press Ltd,2010-05-26,11.91,1.09,5,1,0,0,0,0,1,964164,9780752457154,English,"Food, Drink"
Complete Coconut Cookbook,Camilla V. Saulsbury,320,Robert Rose Inc,2014-09-11,20.71,4.29,3.72,18,1,1,4,8,4,439590,9780778804888,English,"Food, Drink"
The Little Book of Big Weight Loss,Bernadette Fisers,144,Atria Books,2017-12-26,15.15,0.85,3.42,74,4,7,27,26,10,396073,9781501183782,English,"Food, Drink"
The Little Bach Book : An eclectic Omnibus of Notable Details about the Life and Times of the esteemed and highly respected Johann Sebastian Bach,David Gordon,160,Lucky Valley Press,2017-06-14,19.58,3.12,4.6,20,0,0,2,4,14,426295,9780692878415,English,"Food, Drink"
A Little Book of Scottish Baking,"Marion Maxwell, Catherine McWilliams",60,Pelican Publishing Co,1997-07-31,9.32,0.18,3.9,10,0,0,4,3,3,942081,9781565542907,English,"Food, Drink"
Book for Cooks: 100 Classic Cookbooks,Leslie Geddes-Brown,224,Merrell Publishers Ltd,2012-10-16,42.35,10.65,3.67,12,1,0,4,4,3,1023285,9781858945798,English,"Food, Drink"
Diet Recipe Book : Intermittent Fasting and Metabolism Foods for Weight Loss,"Francis Harris, Rosie Townsend",186,Healthy Lifestyles,2014-06-26,11.76,0.94,1,2,2,0,0,0,0,9781633830677,9781633830677,English,"Food, Drink"
The Complete Book of Cheese,Bob Brown,332,Read Books,2011-08-12,31.57,8.83,3.61,94,6,11,22,30,25,9781447422150,9781447422150,English,"Food, Drink"
An Indian Family Recipe Book : Over 100 traditional recipes,Laxmi Khurana,224,"Little, Brown Book Group",2022-06-14,7.19,4.31,3.5,2,0,0,1,1,0,9781472146984,9781472146984,English,"Food, Drink"
Pieman - The Papa D Story : The Secret To Life Through Comfort Foods,"June V Bourgo, Dennis Bourgo",222,Next Chapter,2022-09-06,17.23,2.37,5,3,0,0,0,0,3,9784824148766,9784824148766,English,"Food, Drink"
The Little Book of Coffee : No filter,Orange Hippo!,192,Welbeck Publishing Group,2021-06-15,9.90,0.10,4,2,0,0,0,2,0,9781800690172,9781800690172,English,"Food, Drink"
Cookery Blue Book,First Unitarian Society of San Francisco Society for Christian Work,132,Applewood Books,2008-01-04,11.59,0.41,3.65,17,1,2,6,1,7,9781429011402,9781429011402,English,"Food, Drink"
Merrie Christmas Drink Book,Ruth Mccrea,64,Read Books,2010-07-27,25.30,8.00,4,1,0,0,0,1,0,9781445513928,9781445513928,English,"Food, Drink"
Freezing of Fruits and Vegetables : An Agribusiness Alternative for Rural and Semi-Rural Areas,"Gustavo V. Barbosa-Canovas, Bilge Altunakar, Danilo J. Mejia-Lorio",82,Food & Agriculture Organization of the United Nations (FAO),2010-07-30,15.80,2.20,4,1,0,0,0,1,0,4088540,9789251052952,English,"Food, Drink"
"Enlightened Soups : More Than 135 Light, Healthy, Delicious, and Beautiful Soups in 60 Minutes or Less",Camilla V. Saulsbury,184,"Cumberland House Publishing,US",2008-11-10,24.97,7.03,4.07,15,0,2,3,2,8,3569225,9781581826647,English,"Food, Drink"
The Tea & Sympathy Mysteries : Books 4 - 6,J New,522,J. New,2022-10-10,32.71,0.99,5,2,0,0,0,0,2,9798215485439,9798215485439,English,"Food, Drink"
Happy Food For the Tummy : Food Coloring Books,Jupiter Kids,106,Jupiter Kids,2016-04-01,13.47,2.63,1,1,1,0,0,0,0,9781683052326,9781683052326,English,"Food, Drink"
The Kama Sutra Kitchen : An Aphrodisiac Recipe Book,Ashley Apple,130,Ashley Apple,2014-04-30,16.07,10.53,4.67,3,0,0,0,1,2,1530042,9780615998930,English,"Food, Drink"
"A Parrot's Healthy Meal Planner : Easy Recipes to Help You Feed Your Bird a Balanced Nutritional Diet, Book 1",Karmen Budai,40,K&S Natural Company Ltd,2020-05-15,14.94,7.46,5,1,0,0,0,0,1,941328,9781527259386,English,"Food, Drink"
"John Evelyn, Cook : The Manuscript Recipe Book of John Evelyn","John Evelyn, Christopher Driver",250,PROSPECT BOOKS,1997-10-02,29.43,18.57,3,1,0,0,1,0,0,1531370,9780907325659,English,"Food, Drink"
