title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Six Chapters from My Life ""Downunder""","Yang Jiang, Howard Goldblatt, Jonathan Spence",128,University of Washington Press,1988-05-01,17.65,0.85,4.13,163,5,5,25,57,71,1165241,9780295966441,English,Biography
Ludo and the Power of the Book : Ludovic Kennedy's Campaigns for Justice,Richard Ingrams,224,"Little, Brown Book Group",2018-03-29,9.83,2.67,4,7,0,1,1,2,3,1570056,9781472109088,English,Biography
Thora Hird's Book of Bygones,Thora Hird,200,Zondervan,1998-08-01,12.30,5.70,4.2,5,0,0,0,4,1,1408542,9780006280682,English,Biography
"The Little Green Book of Getting Your Way : How to Speak, Write, Present, Persuade, Influence, and Sell Your Point of View to Others",Jeffrey Gitomer,7,SIMON & SCHUSTER,2009-05-12,16.45,7.55,4.01,1073,18,71,241,292,451,1329998,9780743572620,English,Biography
TIGER PROJECT: A Series Devoted to Germany's World War II Tiger Tank Crews: Book 2: Horst Kronke - Schwere Panzer (Tiger) Abteilung 505,Dale Richard Ritter,152,Schiffer Publishing Ltd,2004-10-25,51.20,4.80,3.25,4,0,1,1,2,0,810926,9780764321016,English,Biography
"A Thousand Books for the Hospital Library : Selected From the Shelf-List of the Library of Mclean Hospital, Waverley, Massachusetts","Edith Kathleen Jones, Miriam Eliza Carey",56,Sagwan Press,2018-02-02,13.93,0.07,5,2,0,0,0,0,2,9781376489880,9781376489880,English,Biography
Books Fatal To Their Authors,Peter Hampson Ditchfield,108,Lector House,2020-09-04,10.55,1.45,2.87,23,1,9,7,4,2,9789390314669,9789390314669,English,Biography
The Little Book of Big Explorations : Adventures into the Unknown That Changed Everything,Jheni Osman,272,Michael O'Mara Books Ltd,2020-11-01,15.64,0.36,4.06,17,0,0,4,8,5,1476217,9781789290790,English,Biography
A Shelf of Old Books,Annie Fields,244,Nabu Press,2012-04-10,24.78,1.21,5,3,0,0,0,0,3,9781248404386,9781248404386,English,Biography
The Five Books of [Abraham] Moses : An Autobiographical Narrative,Abraham M Mann,348,iUniverse,2016-08-31,27.81,2.19,4,1,0,0,0,1,0,9781491789162,9781491789162,English,Biography
Books And Reading : Our Duty As Men And Churchmen (1884),Paul Williams Wyatt,20,Kessinger Publishing,2009-02-28,17.48,0.62,5,1,0,0,0,0,1,9781104041557,9781104041557,English,Biography
King of Fashion : The autobiography of Paul Poiret,Paul Poiret,192,V & A Publishing,2019-06-18,11.72,0.78,3.41,41,1,6,15,13,6,798990,9781851779611,English,Biography
"Men, Women, and Books",Augustine Birrell,242,Nabu Press,2010-08-18,24.78,1.21,4.33,3,0,0,0,2,1,9781177367493,9781177367493,English,Biography
"Books and Characters, French & English",Lytton Strachey,178,Alpha Edition,2021-11-22,16.04,0.66,3.94,17,0,2,2,8,5,9789355392794,9789355392794,English,Biography
A Shelf of Old Books,Annie Fields,240,Nabu Press,2010-02-24,24.71,0.07,5,3,0,0,0,0,3,9781145751538,9781145751538,English,Biography
A Shelf Of Old Books,Annie Fields,238,Nabu Press,2011-09-30,24.65,1.34,5,3,0,0,0,0,3,9781247163208,9781247163208,English,Biography
A Shelf of Old Books,Annie Fields,244,Nabu Press,2012-04-10,24.78,1.21,5,3,0,0,0,0,3,9781248404386,9781248404386,English,Biography
The Sage in the Cathedral of Books : The Distinguished Chinese American Library Professional Dr. Hwa-Wei Lee,"Yang Yang, Ying Zhang",320,Ohio University Libraries,2016-05-02,39.03,3.67,4,1,0,0,0,1,0,9780966764482,9780966764482,English,Biography
A Shelf of Old Books,Annie Fields,240,Nabu Press,2010-02-24,24.71,0.07,5,3,0,0,0,0,3,9781145751538,9781145751538,English,Biography
"Books & Characters, French & English",Lytton Strachey,172,Lector House,2020-09-04,13.10,1.50,3.94,17,0,2,2,8,5,9789390314577,9789390314577,English,Biography
