title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"White Silence : An edge-of-your-seat supernatural thriller (Elizabeth Cage, Book 1)",Jodi Taylor,384,Headline Publishing Group,2020-04-07,10.59,1.91,4.12,3744,66,157,609,1336,1576,351155,9781472264480,English,"Mind, Body, Spirit"
The Calm and Cozy Book of Sleep: Volume 13 : Rest + Dream + Live,Beth Wyatt,128,Rock Point,2020-08-04,14.69,3.81,3.81,151,1,8,46,60,36,912044,9781631066870,English,"Mind, Body, Spirit"
Egyptian Amduat : The Book of the Hidden Chamber,"Erik Hornung, Theodor Abt",446,Living Human Heritage Publications Professor  Dr. Theodor Abt,2023-04-02,93.18,1.82,4.32,19,1,0,3,3,12,435798,9783952260845,English,"Mind, Body, Spirit"
Old Girl'S Book of Dreams : How to Make Your Wishes Come True Day by Day and Night by Night,Cal Garrison,192,Red Wheel/Weiser,2003-08-27,13.68,3.32,3,12,3,1,2,5,1,1025378,9781590030622,English,"Mind, Body, Spirit"
"M'Lady's Book of Household Secrets : Recipes, Remedies and Essential Etiquette",The Hon. Sarah Connolly Carew Macpherson,144,The History Press Ltd,2014-04-01,12.72,13.28,5,1,0,0,0,0,1,1139046,9781845887810,English,"Mind, Body, Spirit"
"White Silence : An edge-of-your-seat supernatural thriller (Elizabeth Cage, Book 1)",Jodi Taylor,384,Headline Publishing Group,2020-04-07,10.59,1.91,4.12,3744,66,157,609,1336,1576,351155,9781472264480,English,"Mind, Body, Spirit"
God's Little Book of Joy : Words to Cheer and Delight,Richard Daly,160,HarperCollins Publishers,2013-11-07,6.43,0.07,3.67,3,0,1,0,1,1,1034712,9780007528363,English,"Mind, Body, Spirit"
"The Daily Meditation Book of Healing : 365 Reflections for Positivity, Peace, and Prosperity",Worthy Stokes,232,Rockridge Press,2020-05-05,17.73,0.27,3.79,29,0,4,8,7,10,1131829,9781646117437,English,"Mind, Body, Spirit"
The Book of Balder Rising,Robert Blumetti,420,iUniverse,2004-03-30,24.55,7.95,4.4,5,0,1,0,0,4,1177714,9780595314331,English,"Mind, Body, Spirit"
Pocket Atlas of Chinese Medicine,"Marnae C. Ergil, Kevin V. Ergil",416,Thieme Publishing Group,2009-06-30,49.33,0.66,4.8,5,0,0,0,1,4,1076615,9783131416117,English,"Mind, Body, Spirit"
The I Ching Workbook : Contains Book 50 Yarrow Sticks Incense and Holder Plus a Silk Cloth,Wu Wei,352,Power Press,2006-08-17,44.99,1.28,4.47,15,0,0,2,4,9,330346,9780943015507,English,"Mind, Body, Spirit"
A Source-book of Scottish Witchcraft,"Christina Larner, Christopher Hyde Lee, Hugh V. McLachlan",356,Zeticula Ltd,2005-04-27,41.61,3.69,4,4,0,0,2,0,2,1032510,9781845300289,English,"Mind, Body, Spirit"
The Inner Life,C. W. Leadbeater,410,"Quest Books,U.S.",1978-06-01,19.55,1.45,4.29,35,1,0,4,13,17,50810,9780835605021,English,"Mind, Body, Spirit"
Kindly Bent to Ease Us: Wonderment v. 3,"Longchen Rabjam, Herbert V. Guenther",171,"Dharma Publishing,U.S.",1976-06-01,16.75,1.25,4.42,55,2,1,4,13,35,1061239,9780913546451,English,"Mind, Body, Spirit"
Magician's Magic,Paul Curry,288,Dover Publications Inc.,2003-09-06,15.76,3.24,3.45,11,0,1,5,4,1,701126,9780486431765,English,"Mind, Body, Spirit"
The Book of the Sacred Magic of Abramelin the Mage,S. L Macgregor Mathers,320,"Book Tree,US",2004-06-30,22.28,3.42,4.02,1317,24,76,292,385,540,983029,9781585092529,English,"Mind, Body, Spirit"
"Vril or Vital Magnetism : Secret Doctrine of Ancient Atlantis, Egypt, Chaldea and Greece","Paul Tice, Book Tree",124,"Book Tree,US",1999-07-01,10.07,3.13,3.76,29,1,4,6,8,10,513139,9781585090303,English,"Mind, Body, Spirit"
Holy Book of the Devas : The Secret Mythologies of the Herbal World,Rev. Paul V. Beyerl,198,Hermits Grove,2011-04-21,19.78,2.78,4.45,11,0,0,2,2,7,1093986,9780965568715,English,"Mind, Body, Spirit"
The Little Book of Comfort,"Bond, Ruskin",160,Penguin Random House India,2019-01-15,10.26,0.74,4.3,222,4,8,22,71,117,1423925,9780670092291,English,"Mind, Body, Spirit"
100 Hugs : A Little Book of Comfort,Sandy Gingras,72,Andrews McMeel Publishing,2013-11-21,8.36,2.64,4.63,19,0,0,0,7,12,471471,9781449427290,English,"Mind, Body, Spirit"
Earth and Air : The Astrological Elements Book 2,Darby Costello,272,Raven Dreams Press,2018-08-07,22.95,3.45,4.67,3,0,0,0,1,2,462780,9781732650404,English,"Mind, Body, Spirit"
The Etheric Body of Man : The Bridge of Consciousness,"Lawrence J. Bendit, Phoebe Bendit",124,"Quest Books,U.S.",1990-02-02,9.59,1.41,4.17,6,0,1,0,2,3,705945,9780835604895,English,"Mind, Body, Spirit"
"Book of the Fallen : Satanic Theory, Ethics, and Practice",Martin McGreggor,186,Independently Published,2019-02-20,17.49,2.51,4.17,18,1,1,2,4,10,1283693,9781797600970,English,"Mind, Body, Spirit"
Meditation for Fidgety Skeptics : A 10% Happier How-to Book,"Dan Harris, Jeffrey Warren, Carlye Adler",304,Potter/Ten Speed/Harmony/Rodale,2018-12-31,14.82,6.68,3.81,8965,216,547,2202,3723,2277,76955,9780399588969,English,"Mind, Body, Spirit"
The Cambridge Book of Magic : A Tudor Necromancer's Manual,"Paul Foreman, Francis Young",180,Francis Young,2015-02-05,36.63,6.87,4,6,0,0,2,2,2,1063067,9780992640422,English,"Mind, Body, Spirit"
Coloring Book of Shadows : Planner for a Magical 2022,Amy Cesari,190,Amy Cesari,2021-09-01,33.04,24.26,4.85,20,0,0,0,3,17,1086775,9781953660060,English,"Mind, Body, Spirit"
Coloring Book of Shadows : Planner for a Magical 2022,Amy Cesari,190,Amy Cesari,2021-10-25,22.94,22.16,4.85,20,0,0,0,3,17,1141563,9781953660213,English,"Mind, Body, Spirit"
The Book of Origins : Recovering the Original Divine Blue Print Essence,Ivonne Delaflor,148,iUniverse,2011-03-15,12.37,2.43,4.25,4,0,1,0,0,3,1270526,9781450277433,English,"Mind, Body, Spirit"
Songs Of The Arcturians : Arcturian Star Chronicles Book 1,Patricia Pereira,238,Beyond Words Publishing,1996-10-01,15.23,2.27,4,36,3,0,7,10,16,449213,9781885223432,English,"Mind, Body, Spirit"
The Little Book of Great Women,New Internationalist,144,New Internationalist Publications Ltd,2009-10-01,4.72,1.27,3.67,3,0,0,1,2,0,1197595,9781906523220,English,"Mind, Body, Spirit"
The Good Work Book : How to enjoy your job & make it spiritually fulfilling,"Suzie St George, Fiona Mcdougall",288,Siramarti Publishing Pty Ltd as Trustee for Sirama,2016-03-21,22.06,0.54,3.67,3,1,0,0,0,2,1113908,9780994528506,English,"Mind, Body, Spirit"
Coloring Book of Shadows : Planner for a Magical 2022,Amy Cesari,190,Amy Cesari,2021-10-25,22.94,22.16,4.85,20,0,0,0,3,17,1141563,9781953660213,English,"Mind, Body, Spirit"
The Light of Asia,Sir Edwin Arnold,165,"Quest Books,U.S.",1969-06-01,12.34,3.66,4.09,310,3,14,60,108,125,742972,9780835604055,English,"Mind, Body, Spirit"
"Aspects of Meditation Book 1 : The Body, the First Step",Osho,112,St Martin's Press,2022-02-22,6.16,2.84,3.77,13,0,1,5,3,4,1015335,9781250786425,English,"Mind, Body, Spirit"
The Microscopic Colitis Diet Book,Wayne Persky,108,Persky Farms,2022-08-29,28.72,5.48,5,1,0,0,0,0,1,16587,9781736406694,English,"Mind, Body, Spirit"
Songs Of The Arcturians : Arcturian Star Chronicles Book 1,Patricia Pereira,238,Beyond Words Publishing,1996-10-01,15.23,2.27,4,36,3,0,7,10,16,449213,9781885223432,English,"Mind, Body, Spirit"
The Modern Wiccan Box of Spells : Includes 52 Enchanting Cards and a 64-Page Illustrated Spell Book,Gillian Kemp,64,"Ryland, Peters & Small Ltd",2018-11-09,19.34,0.66,4.33,3,0,0,1,0,2,366494,9781782496601,English,"Mind, Body, Spirit"
The New World Order Book,Nick Redfern,400,Visible Ink Press,2017-11-16,31.99,5.01,3.7,10,0,1,2,6,1,1191230,9781578596157,English,"Mind, Body, Spirit"
The Good Work Book : How to enjoy your job & make it spiritually fulfilling,"Suzie St George, Fiona Mcdougall",288,Siramarti Publishing Pty Ltd as Trustee for Sirama,2016-03-21,22.06,0.54,3.67,3,1,0,0,0,2,1113908,9780994528506,English,"Mind, Body, Spirit"
The Book of Shi-Ji 3,Peter Slattery,158,Lulu.com,2021-01-20,16.63,2.97,4.79,39,0,0,1,6,32,1028391,9781716206405,English,"Mind, Body, Spirit"
The Cambridge Book of Magic : A Tudor Necromancer's Manual,"Paul Foreman, Francis Young",180,Francis Young,2015-02-05,36.63,6.87,4,6,0,0,2,2,2,1063067,9780992640422,English,"Mind, Body, Spirit"
"Making Friends with Anxiety : A warm, supportive little book to help ease worry and panic",Sarah Rayner,134,Creative Pumpkin Ltd,2017-05-04,8.72,0.38,3.79,492,13,33,136,171,139,327808,9780995774445,English,"Mind, Body, Spirit"
Black Book : Volume I: Principles of Extreme Living,Christopher S Hyatt,32,Original Falcon Press,2008-08-21,7.21,2.29,4.22,78,4,2,10,19,43,1211668,9781935150374,English,"Mind, Body, Spirit"
Book of the Heart : Embracing the Tao,Loy Ching-Yuen,80,Shambhala Publications Inc,1990-11-27,12.35,2.55,4.6,15,0,0,2,2,11,1183813,9780877735809,English,"Mind, Body, Spirit"
Colon Hydrotherapy : The Professional Practitioner Training Manual and Reference Book,Richard Knight,276,Cross Roads Publications,2010-05-15,33.37,9.63,3,2,0,1,0,1,0,51986,9780952439233,English,"Mind, Body, Spirit"
