title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Blaze Finds the Trail,C. W. Anderson,32,"Econo-Clad Books, Div. of American Cos., Inc.",2000-09-01,20.29,3.21,4.25,369,1,11,62,115,180,2066389,9780613243803,English,Sport
"Bibliotheca Salmo Salar : A Selection of Rare Books, Manuscripts, Journals, Diaries, Photograph Albums, & Ephemera on the Subject of Atlantic Salmon Fishing",Charles B. Wood,248,David R. Godine Publisher Inc,2017-02-16,52.90,13.09,5,2,0,0,0,0,2,2176413,9781567924589,English,Sport
Chanpuru : Reflections and Lessons from the Dojo,"Garry Parker, Hiroshi Takamiyagi, Mark V Wiley",186,Tambuli Media,2015-03-25,15.16,6.94,5,1,0,0,0,0,1,1490153,9781943155057,English,Sport
"The Book of the Bivvy : Tips, stories and route ideas",Ronald Turnbull,176,Cicerone Press,2021-09-10,11.18,1.32,5,2,0,0,0,0,2,9781786310781,9781786310781,English,Sport
A Trapper's Book : Complete Guide with Tips to Trapping and Hunting,Smith Harrison,36,Independently Published,2021-07-05,6.25,0.23,1,1,1,0,0,0,0,9798532078673,9798532078673,English,Sport
Book of the Ninja,Ashida Kim,96,Lulu.com,2011-02-14,27.38,6.82,5,1,0,0,0,0,1,9781458345820,9781458345820,English,Sport
"Better than the Best : Black Athletes Speak, 1920-2007","John C. Walter, Malina Iida",288,University of Washington Press,2010-11-16,15.68,16.32,4,1,0,0,0,1,0,2382630,9780295990538,English,Sport
The Book of Kellyisms : A Coach's Playbook for Life,Robert M Kelly,112,Doce Blant Publishing,2015-07-17,17.79,6.21,5,4,0,0,0,0,4,9780996570206,9780996570206,English,Sport
"Better than the Best : Black Athletes Speak, 1920-2007","John C. Walter, Malina Iida",288,University of Washington Press,2010-11-16,15.68,16.32,4,1,0,0,0,1,0,2382630,9780295990538,English,Sport
"Piloting, Seamanship and Small Boat Handling - Vol. V",Charles F. Chapman,238,Read Books,2011-05-23,25.03,14.57,4.19,26,0,0,5,11,10,9781447411222,9781447411222,English,Sport
Book 7 : 101 Sports Coaching Snippets: Personal Skills and Fitness Drills,Bert Holcroft,116,Trafford Publishing,2019-05-17,23.77,7.18,5,1,0,0,0,0,1,9781490785691,9781490785691,English,Sport
"Social Economies of Fear and Desire : Emotional Regulation, Emotion Management, and Embodied Autonomy",V. Nicol,261,Palgrave Macmillan,2011-12-07,85.67,23.83,4,1,0,0,0,1,0,9781349341733,9781349341733,English,Sport
"Social Economies of Fear and Desire : Emotional Regulation, Emotion Management, and Embodied Autonomy",V. Nicol,261,Palgrave Macmillan,2011-12-15,77.40,37.10,4,1,0,0,0,1,0,2925174,9780230338685,English,Sport
Motorcycle Safety and Dynamics : Vol 1 - B&W,James R. Davis,178,Lulu.com,2011-06-25,30.23,7.97,4,6,0,1,0,3,2,1344311,9781257440160,English,Sport
Follow This Thread : A Maze Book to Get Lost In,"Henry Eliot, Quibe",240,Penguin Books Ltd,2021-04-01,16.25,0.75,3.72,200,5,15,54,82,44,1089116,9780141985251,English,Sport
Pencak Silat Pertempuran : Vol. 2,"Sean, Stark",496,Sean Stark,2007-01-30,39.77,1.93,4,2,0,0,1,0,1,1173584,9780615137841,English,Sport
"Scotland's Countryside Parks: West v. 2 : 60 Walks in Scotland's Country Parks, Country Estates & Regional Parks",Tom Prentice,160,Mica Publishing,2012-04-30,15.98,0.02,5,1,0,0,0,0,1,2484743,9780956036735,English,Sport
Horseman's Scrapbook : His Handy Hints Combined In One Handy Reference,Randy Steffen,144,WESTERN HORSEMAN,2003-01-21,10.99,2.96,4.14,7,0,0,2,2,3,1889653,9780911647075,English,Sport
The Pendleton Field Guide to Camping,Pendleton Woolen Mills,208,CHRONICLE BOOKS,2020-03-31,19.22,1.78,3.7,30,0,5,5,14,6,1916626,9781452174754,English,Sport
Arabian Legends : Outstanding Arabian Stallions And Mares,Marian Carpenter,280,WESTERN HORSEMAN,2002-09-01,15.62,5.33,4.43,28,0,0,4,8,16,1697257,9780911647488,English,Sport
Trail Riding,Janine Wilder,128,WESTERN HORSEMAN,2006-06-01,12.81,4.14,4,2,0,0,1,0,1,1890429,9780911647778,English,Sport
