title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Family Worship Book : A Resource Book for Family Devotions,Terry L. Johnson,208,Christian Focus Publications Ltd,2009-03-20,17.35,4.15,4.12,93,1,3,17,35,37,480534,9781857924015,English,Religion
Catholic Book of Prayers : Popular Catholic Prayers Arranged for Everyday Use: In Large Print,Maurus Fitzgerald,256,Catholic Book Publishing,2016-01-01,15.65,3.35,4.57,181,3,4,10,33,131,633858,9781941243510,English,Religion
"Marriage on the Rock 25th Anniversary : The Comprehensive Guide to a Solid, Healthy and Lasting Marriage",Jimmy Evans,332,XO Publishing,2019-09-03,20.41,0.89,4.51,47,1,1,4,8,33,6470,9781950113200,English,Religion
The Book of Acts in its Palestinian Setting,Richard J. Bauckham,544,William B Eerdmans Publishing Co,1995-12-19,42.73,8.07,3.67,9,0,0,5,2,2,520972,9780802847898,English,Religion
In the Mystic Footsteps of Saints: v.1,"Grandshaykh Abd Allah Ad-Daghestani, Shaykh Nazim Adil Al-Haqqani",152,Islamic Supreme Council of America,2002-01-01,10.77,3.23,4.4,121,1,2,18,27,73,606088,9781930409057,English,Religion
"An Evil Spirit Out of the West (Akhenaten Trilogy, Book 1) : A story of ambition, politics and assassination in Ancient Egypt",Paul Doherty,608,Headline Publishing Group,2004-04-05,12.49,0.01,4.12,391,14,15,57,131,174,389017,9780755303380,English,Religion
The Books of Homilies : A Critical Edition,Gerald Bray,600,James Clarke & Co Ltd,2016-01-28,111.81,44.69,5,1,0,0,0,0,1,2354600,9780227175446,English,Religion
Books of the Maccabees,Unknown,198,Lulu.com,2015-10-07,17.46,1.54,2.5,2,1,0,0,1,0,2536054,9781329603745,English,Religion
Theo-Drama: Theological Dramatic Theory: The Action Vol 4,Hans Urs Von Balthasar,511,Ignatius Press,1994-12-20,43.50,2.50,4.59,39,0,0,2,12,25,766959,9780898704716,English,Religion
Al-Ghazali on the Manners Related to Eating : Book XI of the Revival of the Religious Sciences,"Abu Hamid Al-Ghazali, Denys Johnson-Davies",106,The Islamic Texts Society,2016-04-01,14.22,3.28,4.54,69,0,1,4,21,43,26825,9781911141037,English,Religion
Lollards And Their Books,Anne Hudson,288,Bloomsbury Publishing PLC,2003-11-01,181.81,2.68,4.2,5,0,0,1,2,2,2084215,9780907628606,English,Religion
"Book of Common Prayer, Gift Edition, White CP221 601B White",,704,Cambridge University Press,2006-08-01,20.92,2.41,4.44,2202,32,58,230,470,1412,614114,9780521612418,English,Religion
"Intrusive God, Disruptive Gospel - Encountering the Divine in the Book of Acts",Matthew L. Skinner,208,Baker Publishing Group,2015-09-22,13.71,6.29,4.07,44,0,1,9,20,14,643467,9781587433757,English,Religion
Easy Does It:a Book Of Daily 12 Step Meditations,Anonymous,400,Hazelden Information & Educational Services,1994-04-19,16.45,1.05,4.36,11,1,0,1,1,8,643072,9781568385075,English,Religion
On Genesis,"Edmund Augustine, Edmund Hill, Ramsey Boniface",540,New City Press,2004-05-01,48.40,0.10,4.03,63,1,2,8,35,17,365181,9781565482012,English,Religion
The City of God and the Goal of Creation,"T. Desmond Alexander, Dane C. Ortlund, Miles V. Van Pelt",192,Crossway Books,2018-01-31,11.62,2.88,4.07,157,2,2,31,70,52,310937,9781433555749,English,Religion
Beautifully Made! : Wisdom from a Woman-Mother's Guide (Book 3),Julie   Hiramine,86,GENERATIONS OF VIRTUE,2003-05-25,6.02,1.98,4.1,10,1,0,1,3,5,271324,9780976614326,English,Religion
Blessed Child,"Ted Dekker, Bill Bright",368,Thomas Nelson Publishers,2013-05-21,17.61,1.39,4.2,6006,66,238,987,1868,2847,587072,9781401688783,English,Religion
Christian Initiation and Baptism in the Holy Spirit : Evidence from the First Eight Centuries,"Kilian McDonnell, OSB, George Montague, SM",416,Liturgical Press,1991-01-01,45.21,0.89,3.9,20,1,0,4,10,5,574447,9780814650097,English,Religion
The Sound of One Hand,"Dror Burstein, Yoel Hoffman",336,"The New York Review of Books, Inc",2016-12-06,17.39,4.61,3.55,67,2,10,20,19,16,504827,9781681370224,English,Religion
Year of the Lord's Favour: Temporal Cycle: Weekdays Through the Year v. 4 : A Homily for the Roman Liturgy,Aidan Nichols,248,GRACEWING,2012-10-19,20.61,2.89,4,1,0,0,0,1,0,598128,9780852447949,English,Religion
Mothering by the Book - The Power of Reading Aloud to Overcome Fear and Recapture Joy,"Jennifer Pepito, Sally Clarkson",240,Baker Publishing Group,2022-08-02,13.42,1.08,4.25,341,2,9,48,124,158,609202,9780764239533,English,Religion
"21 Toughest Questions Your Kids Will Ask About Christian, Th",Alex Mcfarland,288,Tyndale House Publishers,2013-08-01,18.57,1.53,4.09,67,1,2,13,25,26,589293,9781589976788,English,Religion
30 Days : A practical introduction to reading the Bible,Nicky Gumbel,176,John Murray Press,2019-04-18,8.18,3.32,4.13,47,1,2,7,17,20,608185,9781473692381,English,Religion
