title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"SMIL 3.0 : Flexible Multimedia for Web, Mobile Devices and Daisy Talking Books","Dick C.A. Bulterman, Lloyd W. Rutledge",507,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2008-11-20,68.78,21.21,4,2,0,0,1,0,1,9783540785460,9783540785460,English,Computing
Treo Fan Book,Jeff Ishaq,114,O'Reilly Media,2004-12-07,10.96,2.54,2,2,1,0,1,0,0,9780596008161,9780596008161,English,Computing
Hacking & Computer Programming Languages : 2 Books in 1: THE BLUEPRINT: Everything You Need To Know for Computer Hacking,Cyberpunk Architects,180,Cyberpunk Architects,2018-01-31,24.09,4.91,3,1,0,0,1,0,0,9781775235736,9781775235736,English,Computing
Artificial Intelligence : The Very Idea,John Haugeland,302,MIT Press Ltd,2020-10-12,46.78,3.22,3.77,94,2,8,22,40,22,1309685,9780262580953,English,Computing
Justin: Epitome of The Philippic History of Pompeius Trogus: Volume I: Books 11-12: Alexander the Great,"Justin, John C. Yardley, Waldemar Heckel",388,Oxford University Press,1997-05-08,143.73,5.87,4,4,0,0,1,2,1,9780198149071,9780198149071,English,Computing
Managing Data and Media in Silverlight 4: A mashup of chapters from Packt's bestselling Silverlight books,"Gaston C. Hillar, Gill Cleeren, Kevin Dockx",530,Packt Publishing Limited,2012-02-28,51.72,0.58,5,1,0,0,0,0,1,9781849685641,9781849685641,English,Computing
Deep Learning for Medical Image Analysis,"S. Kevin Zhou, Hayit Greenspan, Dinggang Shen",458,Elsevier Science Publishing Co Inc,2017-01-31,96.90,21.60,3.5,2,0,0,1,1,0,1237353,9780128104088,English,Computing
Handbook of Computer and Computerized System Validation for the Pharmaceutical Industry,Stephen Robert Goldman,472,AuthorHouse,2003-05-16,39.90,47.80,3,1,0,0,1,0,0,1561402,9781410737441,English,Computing
"LaTeX Beginner's Guide : Create visually appealing texts, articles, and books for business and science using LaTeX",Stefan Kottwitz,354,Packt Publishing Limited,2021-10-06,46.15,4.85,5,1,0,0,0,0,1,1599204,9781801078658,English,Computing
Practical Ruby Projects : Ideas for the Eclectic Programmer,Christopher Cyll,328,Apress,2007-12-18,36.15,5.57,3.38,24,2,3,7,8,4,1586615,9781590599112,English,Computing
Beginning PhoneGap : Mobile Web Framework for JavaScript and HTML5,"Rohit Ghatol, Yogesh Patel",700,APress,2012-02-23,33.38,13.62,2.6,5,0,2,3,0,0,1452348,9781430239031,English,Computing
Artificial Intelligence Engines : A Tutorial Introduction to the Mathematics of Deep Learning,James V Stone,218,Sebtel Press,2019-04-01,70.48,15.62,4.08,13,0,0,2,8,3,3168769,9780956372826,English,Computing
The Node Beginner Book,Manuel Kiessling,64,Lulu.com,2012-04-06,9.78,4.52,3.61,258,2,23,88,106,39,9781471628443,9781471628443,English,Computing
Handbook on Project Management and Scheduling Vol.1,"Christoph Schwindt, Jürgen Zimmermann",663,Springer International Publishing AG,2016-09-24,107.68,12.31,4,1,0,0,0,1,0,9783319342955,9783319342955,English,Computing
Information Concepts : From Books to Cyberspace Identities,Gary Marchionini,91,Springer International Publishing AG,2010-11-21,28.93,1.02,3.5,2,0,0,1,1,0,9783031011450,9783031011450,English,Computing
Communities of Computing : Computer Science and Society in the ACM,Thomas J. Misa,422,Morgan & Claypool Publishers,2016-11-10,108.23,42.67,3.33,3,0,0,2,1,0,9781970001877,9781970001877,English,Computing
"Chesthetica's Book of Chess Constructs, Volume 4 : Original Computer-Generated Chess Problems for Solving and Analysis",Azlan Iqbal,150,Independently Published,2020-06-04,16.33,0.35,3,1,0,0,1,0,0,9798651043583,9798651043583,English,Computing
Your Amazing Itty Bitty(R) Podcast Book : The Top 15 Reasons Why You Need To Tap Into the Power (and Profits) of Podcasting,Christine Blosdale,46,Suzy Prudden,2020-03-20,6.69,1.31,5,2,0,0,0,0,2,9781950326464,9781950326464,English,Computing
