title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Amelia,"Donald M. Goldstein, Katherine V. Dillon",352,Potomac Books Inc,2007-09-30,10.90,0.10,3.72,57,2,2,18,23,12,1364437,9781597970952,English,"Technology, Engineering"
"The New York Times Second Book of Science Questions and Answers : 225 New, Unusual, Intriguing, and Just Plain Bizarre Inquiries Into Everyday Scientific Mysteries",C. Claiborne Ray,240,Bantam Doubleday Dell Publishing Group Inc,2003-04-08,12.46,1.54,3.42,12,0,0,7,5,0,2403822,9780385722582,English,"Technology, Engineering"
Newnes Digital Logic IC Pocket Book: Volume 3,R M MARSTON,256,Elsevier Science & Technology,1996-10-17,37.26,2.69,2.67,3,1,0,1,1,0,2074731,9780750630184,English,"Technology, Engineering"
The Book : The Life Story of a Technology,Nicole Howard,192,ABC-CLIO,2005-09-30,53.10,5.30,3.5,119,3,10,50,36,20,9780313330285,9780313330285,English,"Technology, Engineering"
Practical Machinery Vibration Analysis and Predictive Maintenance,"Cornelius Scheffer, Paresh Girdhar",272,Elsevier Science & Technology,2004-09-09,53.76,5.19,3.4,5,0,2,0,2,1,1653475,9780750662758,English,"Technology, Engineering"
Coloss Bee Book Vol I : Standard Methods for Apis mellifera Research,"Vincent Dietemann, James D Ellis, Peter Neumann",640,International Bee Research Association,2017-12-14,117.52,75.48,5,1,0,0,0,0,1,3152209,9780860982838,English,"Technology, Engineering"
Coloss Bee Book Vol II : Standard Methods for Apis mellifera Pest and Pathogen Research,"Vincent Dietemann, James D Ellis, Peter Neumann",354,International Bee Research Association,2017-12-15,84.88,48.42,5,1,0,0,0,0,1,3152867,9780860982821,English,"Technology, Engineering"
Victorian Pencils: Tools to Jewels,Deb Crosby,224,Schiffer Publishing Ltd,1998-09-01,63.88,0.62,4,3,0,0,1,1,1,1675654,9780764304132,English,"Technology, Engineering"
Atlas of Fantastic Infrastructures : An Intimate Look at Media Architecture,"Mihye An, Ludger Hovestadt, Vera Bühlmann",392,Birkhäuser,2016-04-26,54.57,5.38,3,1,0,0,1,0,0,1982603,9783035606287,English,"Technology, Engineering"
Illustrated Manual of U.S. Portable Flamethrowers,Charles S. Hobson,160,Schiffer Publishing Ltd,2010-08-19,49.23,3.77,3.75,4,0,0,1,3,0,1679812,9780764335259,English,"Technology, Engineering"
MRI Techniques,V Perrin,232,ISTE Ltd and John Wiley & Sons Inc,2013-10-14,124.14,16.96,2,1,0,1,0,0,0,9781848215030,9781848215030,English,"Technology, Engineering"
Waterproof and Water Repellent Textiles and Clothing,John T. Williams,586,Elsevier Science & Technology,2017-11-15,167.59,47.41,4,3,0,1,0,0,2,1645353,9780081012123,English,"Technology, Engineering"
Finite Element Method in Machine Design,V. Ramamurti,452,Alpha Science International Ltd,2012-01-31,57.88,5.62,4.6,5,0,0,0,2,3,3705161,9781842657478,English,"Technology, Engineering"
Macro-Engineering : A Challenge for the Future,"V. Badescu, R.B. Cathcart, R.D. Schuiling",318,Springer-Verlag New York Inc.,2006-10-15,168.15,24.44,3.67,3,0,0,2,0,1,9781402037399,9781402037399,English,"Technology, Engineering"
Bionanotechnology : Proteins to Nanodevices,"V. Renugopalakrishnan, Randy V. Lewis",296,Springer,2010-10-19,184.27,35.71,5,1,0,0,0,0,1,9789048170784,9789048170784,English,"Technology, Engineering"
Waterproof and Water Repellent Textiles and Clothing,John T. Williams,586,Elsevier Science & Technology,2017-11-15,167.59,47.41,4,3,0,1,0,0,2,1645353,9780081012123,English,"Technology, Engineering"
Emerald Architecture: Case Studies in Green Building (GreenSource),Greensource Magazine,176,McGraw-Hill Education - Europe,2008-06-16,57.48,7.52,2.5,2,1,0,0,1,0,2367651,9780071544115,English,"Technology, Engineering"
Reeds Vol 11: Engineering Drawing,H.G. Beck,176,Bloomsbury Publishing PLC,2019-05-21,56.13,21.37,5,1,0,0,0,0,1,2161302,9781472969859,English,"Technology, Engineering"
