title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Oxford Easy Anthem Book,Oxford,192,Oxford University Press,1962-09-01,20.85,1.15,3,3,0,0,3,0,0,1510259,9780193533219,English,Reference
The Adventures of Baron Munchausen : The Illustrated Screenplay,Charles Mckeown,238,Hal Leonard Corporation,2000-05-01,10.51,0.79,3.56,25,2,1,7,11,4,1203157,9781557830418,English,Reference
"The Storyteller's Start-up Book : Finding, Learning, Performing, and Using Folktales Including Twelve Tellable Tales",Margaret Read MacDonald,215,August House Publishers,2005-12-19,27.35,0.65,3.7,87,1,4,30,37,15,1438823,9780874833041,English,Reference
The Overstreet Comic Book Price Guide #1 : 1971 Facsimile Edition,Robert M. Overstreet,238,Gemstone Publishing,2021-03-09,15.79,2.21,5,1,0,0,0,0,1,1364759,9781603602662,English,Reference
The Busy Woman's Guide to Writing a World-Changing Book,Cynthia Morris,220,"Original Impulse, Inc.",2019-05-22,10.79,9.61,4.17,29,1,1,6,5,16,1342642,9780975922477,English,Reference
The librarians' book on teaching through games and play,Andrew Walsh,158,Innovative Libraries,2018-09-03,27.83,6.17,3.33,3,0,0,2,1,0,1214240,9781911500070,English,Reference
Mediaeval Feudalism,Carl Stephenson,126,Cornell University Press,1956-10-15,15.41,3.09,3.71,112,1,4,39,50,18,1010468,9780801490132,English,Reference
"Dress & Gender: Crossdressing in Context, Vol. 1","Ph.D., G. G. Bolich",320,Psyche's Press,2007-11-30,24.18,1.42,4,1,0,0,0,1,0,1325165,9780615167671,English,Reference
The Ultimate Book of Choral Warm-Ups and Energisers : Turbo Charge Your Choir,Tina Reibl,64,AuthorHouse UK,2019-10-15,15.89,4.81,5,2,0,0,0,0,2,1371921,9781728391762,English,Reference
Thru the Bible Vol. 2: Joshua through Psalms,J. Vernon Mcgee,896,Thomas Nelson Publishers,1983-11-29,55.20,0.80,4.52,25,0,1,1,7,16,1113937,9780840749741,English,Reference
A Guide to Popular Music Reference Books : An Annotated Bibliography,Gary Haggerty,232,ABC-CLIO,1995-09-30,69.36,2.34,3,1,0,0,1,0,0,9780313296611,9780313296611,English,Reference
Modern Marine Engineer's Manual: Vol I,Everett C. Hunt,1280,Schiffer Publishing Ltd,2009-07-07,98.34,7.16,3.77,13,2,1,1,3,6,1338039,9780870334962,English,Reference
Bibliography of Forbidden Books - Volume III,Henry Spencer Ashbee,660,Cosimo Classics,2013-01-01,54.94,11.56,3,1,0,0,1,0,0,9781602069718,9781602069718,English,Reference
Cengage Advantage Books: Building a Speech,Sheldon Metcalfe,432,"Cengage Learning, Inc",2012-01-01,118.27,9.23,2.69,13,2,2,7,2,0,3165701,9781111348373,English,Reference
Book Sense Best Children's Books : 240 Favorites for All Ages Recommended by Independent Booksellers,"Cornelia Funke, Book Sense, Mark Nichols",174,"Newmarket Press,U.S.",2005-09-01,7.08,6.77,4,3,0,0,1,1,1,9781557046796,9781557046796,English,Reference
Contributions to Annuals and Gift Books,"James Hogg, Janette Currie, Gillian Hughes",480,Edinburgh University Press,2006-06-15,96.73,35.77,4,1,0,0,0,1,0,3073009,9780748615278,English,Reference
The Sage in the Cathedral of Books : The Distinguished Chinese American Library Professional Dr. Hwa-Wei Lee,"Yang Yang, Ying Zhang",320,Ohio University Libraries,2016-05-02,39.03,3.67,4,1,0,0,0,1,0,9780966764482,9780966764482,English,Reference
"Dating Advice for Men, 3 Books in 1 (What Women Want Men To Know) : How to Flirt with, Talk to & Attract Women (The #1 Approach, Communication Mastery & Secret to Attracting Love & Relationship)",Ray Asher,428,Indy Pub,2021-05-15,27.88,1.52,3,4,1,0,1,2,0,2514269,9781087922089,English,Reference
The Big Book of Restorative Justice : Four Classic Justice & Peacebuilding Books in One Volume,"Howard Zehr, Allan Macrae, Kay Pranis, Lorraine Stutzman Amstutz",368,Skyhorse Publishing,2022-02-15,20.58,0.42,4,40,2,0,10,12,16,1211211,9781680997637,English,Reference
Read Two Books & Lets Talk Next Week - Using Bibliotherapy in Clinical Practice,J Maidman Joshua,432,John Wiley & Sons Inc,2000-07-04,66.51,13.49,3.5,8,0,1,3,3,1,2070581,9780471375654,English,Reference
The Little Book of Frugal Tips,William Fortt,112,Bloomsbury Publishing PLC,2011-07-01,4.36,0.34,4,1,0,0,0,1,0,1613186,9781906650254,English,Reference
"The Greyhound; Its History, Points, Breeding, Rearing, Training and Running (A Vintage Dog Books Breed Classic)",Hugh Dalziel,124,Read Books,2005-08-31,28.46,7.54,3,1,0,0,1,0,0,2244952,9781905124961,English,Reference
"The Listener's Guide to Books on Tape : Reviews, Recommendations, and Listings for More Than 2, 000 Audio Titles",John Wynne,448,Simon & Schuster,1995-09-01,28.92,0.28,2,1,0,1,0,0,0,9780684802398,9780684802398,English,Reference
Summer Cooking,"Elizabeth David, Molly O'Neill",248,"The New York Review of Books, Inc",2002-05-01,16.65,1.35,4.18,203,1,3,36,82,81,943917,9781590170045,English,Reference
Book Sense Best Children's Books : 240 Favorites for All Ages Recommended by Independent Booksellers,"Cornelia Funke, Book Sense, Mark Nichols",174,"Newmarket Press,U.S.",2005-09-01,7.08,6.77,4,3,0,0,1,1,1,9781557046796,9781557046796,English,Reference
"Books in Motion in Early Modern Europe : Beyond Production, Circulation and Consumption","Daniel Bellingradt, Paul Nelles, Jeroen Salman",305,Springer International Publishing AG,2018-09-09,97.56,12.43,3,1,0,0,1,0,0,9783319851358,9783319851358,English,Reference
Sovereignty at the Paris Peace Conference of 1919,Leonard V. Smith,300,Oxford University Press,2018-05-15,63.62,2.38,4.25,4,0,0,0,3,1,1502861,9780199677177,English,Reference
The Sunday Times Investigates : Reporting That Made History,"Madeleine Spence, Times Books",496,HarperCollins Publishers,2022-01-01,28.79,6.21,4.25,12,0,1,0,6,5,997140,9780008468316,English,Reference
Talking Stick : Peacemaking as a Spiritual Path,Stephan V. Beyer,192,Inner Traditions Bear and Company,2016-08-25,16.04,0.96,4.7,20,0,0,1,4,15,1464885,9781591432579,English,Reference
"The History of Middle-Earth : The Unofficial Guide to the Languages, People, and Books of Middle-Earth","Jennifer Warner, Historycaps",70,"Golgotha Press, Inc.",2016-04-17,7.86,1.14,4.08,13,0,0,5,2,6,1370986,9781621074090,English,Reference
Contributions to Annuals and Gift Books,"James Hogg, Janette Currie, Gillian Hughes",480,Edinburgh University Press,2006-06-15,96.73,35.77,4,1,0,0,0,1,0,3073009,9780748615278,English,Reference
Books and Libraries in Early England,Helmut Gneuss,328,Taylor & Francis Ltd,1996-12-31,124.47,5.23,4.5,2,0,0,0,1,1,9780860786023,9780860786023,English,Reference
Black Books Galore! : Guide to More Great African American Children's Books,"Donna Rand, Toni Trent Parker",256,John Wiley & Sons Inc,2001-07-20,18.31,6.59,4.11,9,0,1,1,3,4,3008065,9780471375258,English,Reference
The Little Book of Frugal Tips,William Fortt,112,Bloomsbury Publishing PLC,2011-07-01,4.36,0.34,4,1,0,0,0,1,0,1613186,9781906650254,English,Reference
Rare Books and Their Prices,William Roberts,188,BIBLIOLIFE,2009-06-30,18.94,4.05,5,1,0,0,0,0,1,9781110585045,9781110585045,English,Reference
Books and Beyond [4 volumes] : The Greenwood Encyclopedia of New American Reading,Kenneth Womack,1352,ABC-CLIO,2008-10-30,377.50,2.50,3.67,3,1,0,0,0,2,9780313337383,9780313337383,English,Reference
Books About the Middle East : Selecting and Using them with Children and Adolescents,"Tami Al-Hazza, Katherine Toth Bucher",192,ABC-CLIO,2008-05-01,46.30,5.90,4.5,2,0,0,0,1,1,9781586832858,9781586832858,English,Reference
"Books, Bytes and Business : The Promise of Digital Publishing","Bill Martin, Xuemei Tian",298,Taylor & Francis Ltd,2010-10-31,132.76,5.74,4,4,0,0,1,2,1,9780754678373,9780754678373,English,Reference
"Pop-Up and Movable Books : A Bibliography: Supplement 1, 1991-1997",Ann R. Montanaro,976,Scarecrow Press,2000-05-22,193.65,30.35,4,8,1,1,0,1,5,3080349,9780810837287,English,Reference
"Recent Reference Books in Religion : A Guide for Students, Scholars, Researchers, Buyers, & Readers",William M. Johnston,330,Taylor & Francis Inc,1998-04-01,154.84,6.06,3.5,2,0,0,1,1,0,9781579580353,9781579580353,English,Reference
The Minor Law Books,F. Max Muller,402,Taylor & Francis Ltd,2001-09-21,25.94,111.56,3.67,3,0,0,1,2,0,9780700715282,9780700715282,English,Reference
Connecting Boys with Books : What Libraries Can Do,Michael Sullivan,160,American Library Association,2003-06-01,45.38,3.22,3.98,50,0,2,12,21,15,3145463,9780838908495,English,Reference
Teaching Banned Books : 12 Guides for Young Readers,Pat R. Scales,136,American Library Association,2001-06-01,26.57,7.33,3.2,5,0,2,1,1,1,9780838908075,9780838908075,English,Reference
Activity Books (Bugs Mazes),Speedy Publishing Llc,50,Speedy Publishing LLC,2014-08-10,13.35,3.45,3,1,0,0,1,0,0,9781633838833,9781633838833,English,Reference
"In the Company of Books : Literature and Its """"Classes"""" in Nineteenth-century America",Sarah Wadsworth,288,University of Massachusetts Press,2006-07-26,15.98,7.02,4.11,9,0,0,3,2,4,3572667,9781558495418,English,Reference
"A List of Books : With References to Periodicals, Relating to Railroads in Their Relation to the Government and the Public","Appleton Prentiss Clark Griffin, Library of Congress Division of Bibliog",144,Sagwan Press,2018-02-02,16.88,0.62,5,2,0,0,0,0,2,9781376529586,9781376529586,English,Reference
Books And Bookmen,Andrew Lang,88,Lector House,2020-09-04,10.08,1.52,3.2,10,0,1,6,3,0,9789390314515,9789390314515,English,Reference
A Picture Book Primer : Understanding and Using Picture Books,Denise I. Matulka,328,ABC-CLIO,2008-09-30,62.03,0.17,3.44,16,0,3,5,6,2,1584839,9781591584414,English,Reference
"Books Behind Bars : The Role of Books, Reading, and Libraries in British Prison Reform, 1701-1911",Janet Fyfe,256,ABC-CLIO,1992-08-01,120.16,12.04,4.5,2,0,0,0,1,1,9780313284199,9780313284199,English,Reference
"Books in Manuscript : A Short Introduction to Their Study and Use, with a Chapter on Records",Falconer Madan,224,Nabu Press,2011-09-23,24.31,1.68,5,5,0,0,0,0,5,9781246498127,9781246498127,English,Reference
Books Before Typography : A Primer Of Information About The Invention Of The Alphabet And The History Of Book-Making Up To The Invention Of Movable Types,Frederick William Hamilton,46,Lector House,2020-09-04,9.22,2.48,3.62,8,0,1,3,2,2,9789390314683,9789390314683,English,Reference
"Recent Reference Books in Religion : A Guide for Students, Scholars, Researchers, Buyers, & Readers",William M. Johnston,330,Taylor & Francis Inc,1998-04-01,154.84,6.06,3.5,2,0,0,1,1,0,9781579580353,9781579580353,English,Reference
"Pop-Up and Movable Books : A Bibliography: Supplement 1, 1991-1997",Ann R. Montanaro,976,Scarecrow Press,2000-05-22,193.65,30.35,4,8,1,1,0,1,5,3080349,9780810837287,English,Reference
City Lights Books : A Descriptive Bibliography,"Ralph T. Cook, Lori A. Cook",361,Scarecrow Press,1993-01-01,81.54,21.96,3,1,0,0,1,0,0,9780810826212,9780810826212,English,Reference
"Calvin's New Testament Commentaries: The Epistles of Paul the Apostle to the Galatians, Ephesians, Philippians, and Colossians Vol 11","John Calvin, T H L Parker, David W.; Torrance Torrance",375,William B Eerdmans Publishing Co,1996-05-02,35.29,2.61,4.25,12,0,0,0,9,3,66573,9780802808110,English,Reference
Waddle : A Book of Fun for Penguin Lovers,Lloyd Spencer,160,Exisle Publishing,2019-03-12,18.47,2.53,3,1,0,0,1,0,0,582199,9781925335910,English,Reference
"The Interpersonal Communication Book, Global Edition",Joseph DeVito,432,Pearson Education Limited,2015-04-22,60.35,8.55,3.84,319,15,23,74,93,114,1337090,9781292099996,English,Reference
Les aventures de Tintin. Tintin et lalph art / vol. 24 / pd.,Herge,62,CASTERMAN INFANTIL,2015-01-01,24.83,0.18,3.6,3247,110,385,1031,904,817,881881,9782203001329,Spanish,Reference
Learning to Listen to Learn : Using Multi-Sensory Teaching for Effective Listening,"Helen White, Christina Evans",76,SAGE Publications Inc,2005-09-14,32.87,22.63,4,1,0,0,0,1,0,978492,9781412911573,English,Reference
Financial Derivatives and the Globalization of Risk,"Benjamin Lee, Edward Lipuma",224,Duke University Press,2004-09-29,22.56,3.94,3.88,25,1,0,5,14,5,932647,9780822334187,English,Reference
Bay Circuit Trail Map & Guide,Appalachian Mountain Club Books,1,Appalachian Mountain Club Books,2015-08-15,17.76,2.74,5,2,0,0,0,0,2,2667159,9781628420241,English,Reference
QED : A Play Inspired by the Writings of Richard Feynman and Tuva or Bust! by Ralph Leighton,Peter Parnell,68,Hal Leonard Corporation,2002-09-01,9.14,0.96,3.87,67,1,3,18,27,18,1023052,9781557835925,English,Reference
Little Pocket Book of Wisdom 2019 : Your Daily Dose of Quotes to Inspire Wisdom,Trigger Publishing,160,Welbeck Publishing Group,2020-03-05,10.34,0.66,5,1,0,0,0,0,1,979143,9781789561395,English,Reference
Haunted England : The Penguin Book of Ghosts,Jennifer Westwood,480,Penguin Books Ltd,2010-06-22,15.47,0.53,3.68,66,3,7,17,20,19,537254,9780141039749,English,Reference
