title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Ouran High School Host Club, Vol. 3",Bisco Hatori,192,"Viz Media, Subs. of Shogakukan Inc",2008-12-01,10.05,0.95,4.44,17816,154,289,1969,4482,10922,33876,9781421500621,English,Fiction
Star Wars: Darth Vader Vol. 3 - The Shu-torun War,"Kieron Gillen, Salvador Larroca",128,Marvel Comics,2016-08-09,16.07,1.43,3.96,5853,30,232,1461,2368,1762,18779,9780785199779,English,Fiction
Ajin: Demi-human Vol. 3,Gamon Sakurai,224,Vertical Inc.,2015-02-12,12.41,1.09,4.11,2234,7,56,438,916,817,23413,9781941220214,English,Fiction
"Komi Can't Communicate, Vol. 13",Tomohito Oda,192,"Viz Media, Subs. of Shogakukan Inc",2021-06-10,9.31,1.19,4.38,1244,2,7,128,492,615,8971,9781974718832,English,Fiction
"The Eminence in Shadow, Vol. 1","Daisuke Aizawa, Touzai",162,"Little, Brown & Company",2021-11-23,12.12,1.88,3.9,188,7,9,46,59,67,50538,9781975325183,English,Fiction
"Black Butler, Vol. 31",Yana Toboso,178,"Little, Brown & Company",2022-05-31,11.30,2.70,4.31,633,2,6,92,227,306,8601,9781975344368,English,Fiction
"No Game No Life, Vol. 11 (light novel)",Yuu Kamiya,280,"Little, Brown & Company",2022-05-17,15.51,0.49,4.32,44,2,0,3,16,23,3224,9781975345495,English,Fiction
"Bungo Stray Dogs, Vol. 12","Kafka Asagiri, Sango Harukawa",192,"Little, Brown & Company",2019-09-24,12.10,0.40,4.58,1330,3,7,77,374,869,21937,9781975304522,English,Fiction
"re:Zero Starting Life in Another World, Vol. 11 (light novel)","Tappei Nagatsuki, Shinichirou Otsuka",240,"Little, Brown & Company",2019-12-03,14.14,0.86,4.39,353,1,7,32,128,185,8571,9781975383183,English,Fiction
"Vampire Knight, Vol. 18",Matsuri Hino,208,"Viz Media, Subs. of Shogakukan Inc",2014-05-22,10.11,0.89,4.09,2920,56,185,520,825,1334,52102,9781421564333,English,Fiction
