title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"A Social History of Mexico's Railroads : Peons, Prisoners, and Priests",Teresa Van Hoy,272,Rowman & Littlefield,2008-03-21,50.18,5.77,5,2,0,0,0,0,2,3075194,9780742553286,English,Transport
A Sailor's Logbook : Season Aboard Great Lakes Freighters,Mark L. Thompson,328,Wayne State University Press,1999-08-31,36.88,4.32,4.2,15,0,0,4,4,7,9780814328446,9780814328446,English,Transport
Henry Ford,Samuel S. Marquis,248,Wayne State University Press,2007-08-30,33.51,3.19,4.4,5,0,0,0,3,2,9780814333679,9780814333679,English,Transport
Motor Truck Engineering Handbook,James Fitch,452,SAE International,1994-01-01,68.57,1.43,2,1,0,1,0,0,0,3537490,9781560913788,English,Transport
Car Country : An Environmental History,"Christopher W. Wells, William Cronon",464,University of Washington Press,2013-05-15,90.72,13.78,3.73,94,4,1,30,40,19,2954520,9780295992150,English,Transport
American Merchant Ships and Sailors,Willis Abbot,408,Applewood Books,2009-06-30,26.97,0.03,4.14,7,0,0,2,2,3,9781429020145,9781429020145,English,Transport
Eight Steamboats : Sailing Through the Sixties,Patrick Livingston,272,Wayne State University Press,2004-08-23,43.43,1.27,3.83,6,0,0,2,3,1,9780814331750,9780814331750,English,Transport
Along the Valley Line : The History of the Connecticut Valley Railroad,Max R. Miller,160,Wesleyan University Press,2017-10-05,22.62,3.38,5,2,0,0,0,0,2,3133881,9780819577375,English,Transport
Ships and Shipwrecks : Stories from the Great Lakes,Richard Gebhart,182,GREENSTONE BOOKS,2021-12-30,24.21,7.79,4.17,12,0,0,2,6,4,9781948314091,9781948314091,English,Transport
Along the Valley Line : The History of the Connecticut Valley Railroad,Max R. Miller,160,Wesleyan University Press,2017-10-05,22.62,3.38,5,2,0,0,0,0,2,3133881,9780819577375,English,Transport
The Monitor Boys : The Crew of the Union's First Ironclad,Director Newport News Museums John V Quarstein,354,History Press Library Editions,2015-10-26,37.61,0.89,4.29,17,0,0,3,6,8,9781540203250,9781540203250,English,Transport
Ships and Shipwrecks : Stories from the Great Lakes,Richard Gebhart,182,GREENSTONE BOOKS,2021-12-30,24.21,7.79,4.17,12,0,0,2,6,4,9781948314091,9781948314091,English,Transport
"History of the Great American Fortunes, Vol. 3",Gustavus Myers,422,BCR (Bibliographical Center for Research),2009-11-17,27.37,4.62,5,2,0,0,0,0,2,9781116314755,9781116314755,English,Transport
Small Engine Srvc Vol 2 Ed 2,Penton,392,Haynes Publishing Group,2001-06-01,38.70,0.30,5,1,0,0,0,0,1,3114464,9780872887756,English,Transport
"Simple Origami Airplanes Mini Kit : Fold 'Em & Fly 'Em!: Kit with Origami Book, 6 Projects, 24 Origami Papers and Instructional DVD: Great for Kids and Adults",Andrew Dewar,31,Tuttle Publishing,2013-09-17,9.47,2.03,4,4,0,1,0,1,2,1437485,9780804843454,English,Transport
"Blood, Sweat and Tyres : The Little Book of the Automobile",David Long,192,The History Press Ltd,2010-04-05,12.35,0.65,3,1,0,0,1,0,0,2440139,9780752454887,English,Transport
"A Social History of Mexico's Railroads : Peons, Prisoners, and Priests",Teresa Van Hoy,272,Rowman & Littlefield,2008-03-21,50.18,5.77,5,2,0,0,0,0,2,3075194,9780742553286,English,Transport
Eight Steamboats : Sailing Through the Sixties,Patrick Livingston,272,Wayne State University Press,2004-08-23,43.43,1.27,3.83,6,0,0,2,3,1,9780814331750,9780814331750,English,Transport
