title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Book of Settlements : Landnamabok,"Herman Palsson, Peter Foote",453,University of Manitoba Press,2007-01-15,48.96,2.54,3.94,36,0,2,9,14,11,1330310,9780887556982,English,"History, Archaeology"
"The Look of the Book : Manuscript Production in Shiraz, 1303-1452",Elaine Wright,384,University of Washington Press,2013-01-24,60.66,22.84,5,1,0,0,0,0,1,1315251,9780295991917,English,"History, Archaeology"
Saudi Arabia on the Edge : The Uncertain Future of an American Ally,Thomas W. Lippman,320,POTOMAC BOOKS INC,2012-01-31,23.81,11.19,3.85,48,0,0,17,21,10,848642,9781597976886,English,"History, Archaeology"
Wetlands in a Dry Land : More-Than-Human Histories of Australia's Murray-Darling Basin,"Emily O'Gorman, Paul S. Sutter",288,University of Washington Press,2021-07-13,29.36,2.64,4.5,4,0,0,0,2,2,805828,9780295749150,English,"History, Archaeology"
Voltaire in Love,"Nancy Mitford, Adam Gopnik",280,"The New York Review of Books, Inc",2012-11-06,17.05,0.95,3.63,412,8,36,137,150,81,727988,9781590175781,English,"History, Archaeology"
The Book of Bushido : The Complete Guide to Real Samurai Chivalry,Antony Cummins,496,Watkins Media Limited,2022-02-08,28.20,8.30,4.17,6,0,0,1,3,2,1475632,9781786786050,English,"History, Archaeology"
The Ghana Cookery Book,British Red Cross Society,328,Jeppestown Press,2007-07-30,24.82,10.98,4,2,0,0,1,0,1,1260183,9780955393662,English,"History, Archaeology"
"Contagious : Cultures, Carriers, and the Outbreak Narrative",Priscilla Wald,392,Duke University Press,2008-01-30,30.33,1.67,3.99,90,2,3,17,40,28,639266,9780822341536,English,"History, Archaeology"
"Andrew Jackson : The Course of American Freedom, 1822-1832",Robert V. Remini,504,Johns Hopkins University Press,1998-06-05,35.47,7.43,4.32,154,1,0,19,63,71,1333405,9780801859120,English,"History, Archaeology"
The Complete Book of Emigrants,Peter Wilson Coldham,620,Genealogical Publishing Company,2009-10-09,51.36,2.94,4.38,8,0,0,0,5,3,1257104,9780806311920,English,"History, Archaeology"
Mining in Cornwall Vol 4 : Hayle to Kerrier and Carrick,L J Bullen,128,The History Press Ltd,2001-08-01,13.88,3.12,5,1,0,0,0,0,1,1323912,9780752421339,English,"History, Archaeology"
The Crisis Of The Negro Intellectua,Harold Cruse,616,"The New York Review of Books, Inc",2005-06-30,25.48,3.52,4.14,215,6,11,30,68,100,820408,9781590171356,English,"History, Archaeology"
A World War 1 Adventure : The Life and Times of Rnas Bomber Pilot Donald E. Harkness,House of Harkness V,582,AuthorHouse,2014-06-24,42.10,0.90,3.5,2,0,1,0,0,1,1355558,9781496914101,English,"History, Archaeology"
Disarming Hitler's V Weapons : Bomb Disposal - The V1 & V2 Rockets,Chris Ransted,272,Pen & Sword Books Ltd,2020-10-05,17.52,2.98,4.09,11,0,0,2,6,3,1127313,9781526781901,English,"History, Archaeology"
Antisemitism : Its History and Causes,"Bernard Lazare, Robert S. Wistrich",200,University of Nebraska Press,1995-06-01,15.25,0.75,3.35,17,1,3,4,7,2,787717,9780803279544,English,"History, Archaeology"
"The Regency Book of Drinks : Quaffs, Quips, Tipples, and Tales from Grosvenor Square","Amy Finley, Lady Thornwood, Niege Borges",176,ABRAMS,2021-12-23,23.67,4.83,4,11,1,0,2,3,5,1348800,9781419759246,English,"History, Archaeology"
The Gypsies During the Second World War: In the Shadow of the Swastika v. 2,Donald Kenrick,220,University of Hertfordshire Press,1999-03-01,17.83,6.66,4,3,0,0,0,3,0,1249323,9780900458859,English,"History, Archaeology"
