title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Wolf Tales: Bk. 7,Kate Douglas,256,Kensington Publishing,2009-01-01,16.52,0.38,4.31,607,11,20,73,168,335,467499,9780758226938,English,Romance
I Get the Feeling That Nobukuni-san Likes Me Vol. 1,Kosuke Yasuda,160,"Seven Seas Entertainment, LLC",2022-11-29,10.85,3.65,4.22,9,0,0,2,3,4,365528,9781638585558,English,Romance
Yokai Girls Vol. 12,Kazuki Funatsu,180,"Seven Seas Entertainment, LLC",2020-12-22,12.55,2.95,4.14,22,1,1,2,8,10,423985,9781947804548,English,Romance
The Bird in the Tree : Book One of The Eliot Chronicles,Elizabeth Goudge,368,Hodder & Stoughton,2017-06-29,10.70,1.80,4.21,1609,13,59,240,555,742,126262,9781473655942,English,Romance
Compulsory Games,"Robert Aickman, Victoria Nelson",160,"The New York Review of Books, Inc",2018-05-08,15.99,2.51,3.78,389,4,22,111,170,82,241597,9781681371894,English,Romance
As A Man Grows Older,Italo Svevo,256,"The New York Review of Books, Inc",2001-09-30,15.78,5.22,3.51,3157,112,367,1027,1113,538,199186,9780940322844,English,Romance
"Kaze Hikaru, Vol. 21, 21",Taeko Watanabe,192,Viz Media,2013-08-06,10.70,0.30,4.35,100,0,2,11,37,50,439405,9781421535852,English,Romance
The House Between Tides : WATERSTONES SCOTTISH BOOK OF THE YEAR 2018,Sarah Maine,400,Hodder & Stoughton,2018-06-07,9.60,1.90,3.77,8272,153,548,2296,3312,1963,113834,9781473683143,English,Romance
"Just Like You : Two opposites fall unexpectedly in love in this pin-sharp, brilliantly funny book from the bestselling author of About a Boy",Nick Hornby,320,Penguin Books Ltd,2021-04-15,10.87,0.63,3.4,17985,464,2101,7290,6112,2018,70084,9780241983256,English,Romance
Timeless : Book 5 of The Parasol Protectorate,Gail Carriger,384,"Little, Brown Book Group",2012-03-01,10.78,1.72,4.11,30612,263,863,5430,12601,11455,39571,9781841499871,English,Romance
Irina: The Vampire Cosmonaut (Light Novel) Vol. 3,"Keisuke Makino, Karei",288,"Seven Seas Entertainment, LLC",2023-01-03,14.18,1.32,4.67,3,0,0,0,1,2,11227,9781638589099,English,Romance
If Our Love Were a Book... : This Is How It Would Look,"Lisa Swerling, Ralph Lazar",80,Octopus Publishing Group,2014-02-01,7.32,0.18,4.21,56,4,1,6,13,32,173898,9781849533379,English,Romance
"Hatsu Haru, Vol. 4",Shizuki Fujisawa,192,"Little, Brown & Company",2018-12-11,11.15,1.35,4.15,240,1,4,47,94,94,464672,9781975353520,English,Romance
Endgame : The explosive new thriller from the bestselling author of Ragdoll,Daniel Cole,352,Orion Publishing Co,2020-06-23,9.53,1.97,4.01,3414,29,140,720,1402,1123,46801,9781409168867,English,Romance
Shopaholic Abroad : (Shopaholic Book 2),Sophie Kinsella,368,Transworld Publishers Ltd,2006-01-02,9.71,0.29,3.77,119788,1967,8032,36070,42791,30928,40012,9780552773478,English,Romance
To Love Ru Darkness Vol. 6,"Saki Hasemi, Kentaro Yabuki",180,"Seven Seas Entertainment, LLC",2018-09-18,12.72,1.28,3.89,47,3,2,10,14,18,25465,9781947804203,English,Romance
To Love Ru Darkness Vol. 16,"Saki Hasemi, Kentaro Yabuki",180,"Seven Seas Entertainment, LLC",2020-08-18,15.45,1.55,3.68,34,4,3,5,10,12,155956,9781947804487,English,Romance
You Can't Hide (The Chicago Series Book 4),Karen Rose,448,Headline Publishing Group,2015-07-02,12.27,0.23,4.3,7722,44,151,978,2806,3743,51271,9780755384839,English,Romance
"Everyone's Getting Married, Vol. 3",Izumi Miyazono,192,"Viz Media, Subs. of Shogakukan Inc",2017-01-12,8.78,2.22,3.85,455,3,14,136,195,107,151704,9781421587172,English,Romance
2.5 Dimensional Seduction Vol. 1,Yu Hashimoto,192,"Seven Seas Entertainment, LLC",2022-02-08,12.55,2.45,3.88,42,1,3,9,16,13,32995,9781648278815,English,Romance
To Love Ru Darkness Vol. 7,"Saki Hasemi, Kentaro Yabuki",236,"Seven Seas Entertainment, LLC",2018-10-30,12.72,1.28,3.92,50,2,4,11,12,21,158863,9781947804210,English,Romance
"Honey Lemon Soda, Vol. 1",Mayu Murata,192,"Little, Brown & Company",2023-01-17,12.68,0.82,4.27,11,0,0,3,2,6,1776,9781975363314,English,Romance
"You Like Me, Not My Daughter?! (Manga) Vol. 2","Kota Nozomi, Azuma Tesshin, Giuniu",176,"Seven Seas Entertainment, LLC",2023-01-10,12.24,2.26,3.89,18,0,3,3,5,7,1468,9781638589211,English,Romance
Irina: The Vampire Cosmonaut (Light Novel) Vol. 1,"Keisuke Makino, Karei",314,"Seven Seas Entertainment, LLC",2022-08-09,13.51,2.49,4.35,31,2,0,2,8,19,131194,9781638585763,English,Romance
Failed Princesses Vol. 4,Ajiichi,180,"Seven Seas Entertainment, LLC",2021-08-31,11.20,2.80,4.2,133,0,3,24,49,57,294008,9781648272875,English,Romance
Life Is Strange Vol. 5: Coming Home,"Emma Vieceli, Claudia Leonardi",112,Titan Books Ltd,2021-11-02,17.92,0.58,4.29,447,2,8,59,169,209,131207,9781787734746,English,Romance
Dead Heat : An Alpha and Omega novel: Book 4,Patricia Briggs,368,"Little, Brown Book Group",2015-03-03,10.12,2.38,4.31,36310,224,728,4401,13285,17672,33577,9780356501628,English,Romance
"Hatsu Haru, Vol. 3",Shizuki Fujisawa,192,"Little, Brown & Company",2018-10-30,10.96,1.54,4.25,273,1,3,40,113,116,306304,9781975353513,English,Romance
Wanted: Most Wanted Book 1,J. Kenner,352,Headline Publishing Group,2014-01-07,10.96,1.54,3.91,14477,301,924,3382,4978,4892,145631,9781472215116,English,Romance
Whisper of Warning,Laura Griffin,368,SIMON & SCHUSTER,2009-03-31,10.65,0.35,4.09,2773,33,94,500,1105,1041,169065,9781416570646,English,Romance
